Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Proteoglycans in cancer	15/205	2.401398e-09	4.562656e-07	0	0	8.368421e+00	1.660898e+02	ITGB1;CD63;LUM;SDC2;MMP2;CAV1;TWIST2;FN1;ACTB;DCN;COL1A1;COL1A2;CTSL;TIMP3;FGFR1
KEGG_2021_Human	Focal adhesion	14/201	1.563262e-08	1.485099e-06	0	0	7.894371e+00	1.418927e+02	PDGFRB;ITGB1;CAV1;FN1;ACTB;MYL12A;MYLK;COL1A1;COL1A2;COL6A2;COL6A1;CAPN2;COL6A3;MYL9
KEGG_2021_Human	Complement and coagulation cascades	9/85	1.784364e-07	1.130097e-05	0	0	1.222899e+01	1.900267e+02	CFD;C1S;CFH;C1R;SERPING1;CD59;TFPI;A2M;CLU
KEGG_2021_Human	Fluid shear stress and atherosclerosis	10/139	1.389621e-06	6.600701e-05	0	0	8.025704e+00	1.082385e+02	MEF2C;CTSL;MGST3;SDC2;CAV1;MMP2;CCL2;CYBA;CALM2;ACTB
KEGG_2021_Human	Regulation of actin cytoskeleton	12/218	2.104947e-06	6.932469e-05	0	0	6.071266e+00	7.935886e+01	PDGFRB;ITGB1;GSN;CXCL12;ARPC1B;TMSB4X;FN1;MYL9;ACTB;MYL12A;MYLK;FGFR1
KEGG_2021_Human	Leukocyte transendothelial migration	9/114	2.189201e-06	6.932469e-05	0	0	8.838444e+00	1.151824e+02	ITGB1;CXCL12;MMP2;CYBA;THY1;MYL9;ACTB;MYL12A;CD99
KEGG_2021_Human	ECM-receptor interaction	7/88	2.882384e-05	7.823615e-04	0	0	8.829591e+00	9.230726e+01	ITGB1;COL1A1;COL1A2;COL6A2;COL6A1;FN1;COL6A3
KEGG_2021_Human	Rheumatoid arthritis	7/93	4.124242e-05	9.795074e-04	0	0	8.314134e+00	8.393986e+01	CXCL12;CTSL;CTSK;HLA-DPB1;CCL2;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Staphylococcus aureus infection	7/95	4.730325e-05	9.986241e-04	0	0	8.124352e+00	8.090987e+01	CFD;C1S;CFH;C1R;HLA-DPB1;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Protein digestion and absorption	7/103	7.930347e-05	1.506766e-03	0	0	7.444301e+00	7.029079e+01	COL1A1;COL18A1;COL3A1;COL1A2;COL6A2;COL6A1;COL6A3
KEGG_2021_Human	Bacterial invasion of epithelial cells	6/77	1.219228e-04	2.074099e-03	0	0	8.594018e+00	7.745034e+01	ITGB1;ARPC1B;CAV1;FN1;ACTB;SEPTIN11
KEGG_2021_Human	Antigen processing and presentation	6/78	1.309957e-04	2.074099e-03	0	0	8.474227e+00	7.576252e+01	CD74;CTSL;HLA-DPB1;HLA-DRB1;CTSB;HLA-DPA1
KEGG_2021_Human	Phagosome	8/152	1.490962e-04	2.179099e-03	0	0	5.687500e+00	5.011210e+01	ITGB1;CTSL;C1R;HLA-DPB1;CYBA;ACTB;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	Platelet activation	7/124	2.526249e-04	3.428480e-03	0	0	6.101634e+00	5.054353e+01	COL1A1;ITGB1;COL3A1;COL1A2;ACTB;MYL12A;MYLK
KEGG_2021_Human	Lysosome	7/128	3.067777e-04	3.885851e-03	0	0	5.898728e+00	4.771710e+01	CD63;LAPTM4A;CTSL;CTSK;PSAP;CTSH;CTSB
KEGG_2021_Human	Viral myocarditis	5/60	3.324843e-04	3.948251e-03	0	0	9.205128e+00	7.372312e+01	CAV1;HLA-DPB1;ACTB;HLA-DRB1;HLA-DPA1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	5.070298e-04	5.666804e-03	0	0	6.483659e+00	4.919113e+01	COL1A1;COL3A1;COL1A2;MMP2;FN1;CCL2
KEGG_2021_Human	Apoptosis	7/142	5.737992e-04	6.056769e-03	0	0	5.283247e+00	3.943009e+01	GADD45B;CTSL;CTSK;CAPN2;CTSH;ACTB;CTSB
KEGG_2021_Human	Type I diabetes mellitus	4/43	8.826237e-04	8.826237e-03	0	0	1.034066e+01	7.272184e+01	HLA-DPB1;CPE;HLA-DRB1;HLA-DPA1
