Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LINCS_L1000_Chem_Pert_up	LJP005 SKBR3 24H-withaferin-a-3.33	36/202	9.021485e-35	2.214233e-30	0	0	2.596327e+01	2.035283e+03	CDKN1A;BTG1;FHL2;TNFAIP3;SAT1;HSPD1;DNAJB1;MAP1LC3B;HSPH1;BAG3;MYC;MIR22HG;SFN;MAP3K8;PHLDA2;MCL1;TGIF1;MAP2K3;KDM6B;HSPA8;DUSP2;TIPARP;PLK2;PTP4A1;KLF6;TUBB2A;KRT14;MAFF;PELI1;CKS2;EZR;SGK1;TRIB1;ATF3;EPHA2;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 SKBR3 24H-withaferin-a-3.33	33/213	8.292052e-30	7.955349e-26	0	0	2.153892e+01	1.442295e+03	BTG2;CDKN1A;BTG1;FHL2;SAT1;HSPD1;DNAJB1;MAP1LC3B;HSPH1;BAG3;MYC;MIR22HG;SFN;MAP3K8;PHLDA2;MCL1;TGIF1;KDM6B;DUSP2;TIPARP;SERPINB5;HLA-E;PTP4A1;CLDN4;KLF6;TUBB2A;MAFF;EZR;SGK1;TRIB1;ATF3;EPHA2;HBEGF
LINCS_L1000_Chem_Pert_up	LJP005 HT29 24H-LDN-193189-10	33/214	9.723780e-30	7.955349e-26	0	0	2.141883e+01	1.430842e+03	BTG3;CDKN1A;TNFAIP3;SAT1;MAP1LC3B;HSPH1;BAG3;ZC3H12A;NAMPT;MIR22HG;PMAIP1;SFN;PHLDA2;MCL1;DSP;BRD2;SERPINB2;PLK2;KLHL21;KRT5;SERPINB5;NFKBIA;DNAJA1;KLF6;TUBB2A;KRT15;KRT14;MAFF;PELI1;EZR;TRIB1;ATF3;HBEGF
LINCS_L1000_Chem_Pert_up	LJP005 SKBR3 3H-LDN-193189-10	29/155	9.634769e-29	5.911894e-25	0	0	2.648037e+01	1.708238e+03	BTG2;CDKN1A;TNFAIP3;ADRB2;SAT1;AREG;TOB1;ETS2;DNAJB1;HSPH1;MYC;ZC3H12A;MIR22HG;MAP3K8;PHLDA2;SLC38A2;MCL1;KDM6B;DUSP2;TIPARP;NFKBIA;PTP4A1;KLF6;MAFF;CKS2;SGK1;ATF3;EPHA2;HBEGF
LINCS_L1000_Chem_Pert_up	LJP005 HCC515 24H-withaferin-a-10	29/169	1.346558e-27	6.609985e-24	0	0	2.381537e+01	1.473511e+03	BTG2;CDKN1A;FHL2;HSPB1;AQP3;HSPD1;DNAJB1;MAP1LC3B;HSPH1;BAG3;PERP;PMAIP1;SFN;PHLDA2;MCL1;KDM6B;HSPA8;TNFRSF12A;TIPARP;DNAJA1;TUBB2A;FXYD3;MAFF;PELI1;EZR;TRIB1;ATF3;ATF4;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 HA1E 24H-AZD-7762-1.11	24/112	1.951527e-25	7.983046e-22	0	0	3.054545e+01	1.737915e+03	BTG2;CDKN1A;DUSP2;CSTA;CXADR;TNFAIP3;SPINT2;KRT5;AQP3;SAT1;AREG;HOPX;SERPINB5;NFKBIA;KLF5;CA2;PERP;ZC3H12A;MAFF;KRT14;PELI1;PMAIP1;SFN;ATF3
LINCS_L1000_Chem_Pert_up	LJP005 SKBR3 3H-withaferin-a-3.33	25/133	6.140011e-25	2.152863e-21	0	0	2.604762e+01	1.452150e+03	BTG2;CDKN1A;SLC3A2;HSPD1;DNAJB1;HSPH1;BAG3;CHMP1B;PMAIP1;MCL1;HSPA8;HSP90AA1;DUSP2;TIPARP;HSPE1;PTP4A1;DNAJA1;KLF6;MAFF;PELI1;CKS2;EZR;TRIB1;ATF3;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 HCC515 24H-withaferin-a-10	28/199	3.484707e-24	1.069108e-20	0	0	1.868666e+01	1.009335e+03	BTG2;CDKN1A;FHL2;SAT1;HSPD1;DNAJB1;MAP1LC3B;HSPH1;CHMP1B;MIR22HG;PMAIP1;SFN;PHLDA2;MCL1;KDM6B;DUSP2;SERPINB2;S100A2;TIPARP;KLHL21;KRT5;TUBB2A;KRT14;MAFF;PELI1;TRIB1;ATF3;HBEGF
LINCS_L1000_Chem_Pert_up	LJP005 HEPG2 24H-mitoxantrone-1.11	24/130	8.873350e-24	2.419861e-20	0	0	2.533533e+01	1.344774e+03	KDM6B;BRD2;BTG2;CDKN1A;BTG1;S100A2;KRT5;AQP3;AREG;SERPINB5;KLF5;CLEC2B;TRIM29;CHMP1B;PERP;ZC3H12A;MAFF;MIR22HG;SFN;IRF6;PHLDA2;ATF3;S100A11;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 HS578T 24H-withaferin-a-10	26/167	1.108413e-23	2.720488e-20	0	0	2.083370e+01	1.101197e+03	BTG3;BTG2;CDKN1A;EIF4A3;SAT1;TOB1;HSPD1;DNAJB1;MAP1LC3B;PNP;HSPH1;SYNGR2;MIR22HG;PMAIP1;SFN;DUSP2;KLHL21;KRT5;VAMP8;DNAJA1;PELI1;CKS2;EZR;SGK1;ATF3;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 SKBR3 3H-BI-2536-10	24/132	1.305356e-23	2.912605e-20	0	0	2.486364e+01	1.310139e+03	BRD2;BTG2;CDKN1A;DUSP2;BTG1;TIPARP;TNFAIP3;SAT1;HLA-E;NFKBIA;DNAJA1;DNAJB1;KLF6;TUBB2A;BAG3;MAFF;CKS2;PMAIP1;PHLDA2;EZR;TRIB1;SGK1;ATF3;MCL1
LINCS_L1000_Chem_Pert_up	LJP005 HA1E 24H-mitoxantrone-0.37	25/155	3.360195e-23	6.872719e-20	0	0	2.161538e+01	1.118541e+03	BTG2;CDKN1A;CSTA;AQP3;SAT1;TOB1;HSPH1;TRIM29;CA2;CHMP1B;PERP;PMAIP1;SFN;CXADR;SERPINB2;S100A2;KRT5;SERPINB5;EFNA1;PTP4A1;FXYD3;KRT15;MAFF;KRT14;ATF3
LINCS_L1000_Chem_Pert_up	LJP005 SKBR3 3H-SB590885-10	20/80	7.954433e-23	1.485799e-19	0	0	3.655556e+01	1.860156e+03	CDKN1A;TIPARP;KRT1;FHL2;TNFAIP3;HSPB1;AQP3;HOPX;NFKBIA;DNAJB1;ARL4A;KLF6;TUBB2A;KLF5;MYC;DSG1;SFN;EZR;ATF3;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 HS578T 24H-celastrol-3.33	27/201	8.475062e-23	1.485799e-19	0	0	1.760355e+01	8.946533e+02	CDKN1A;TOB1;SAT1;HSPD1;DNAJB1;MAP1LC3B;PNP;HSPH1;BAG3;MIR22HG;PMAIP1;SFN;MCL1;HSPA8;DUSP2;PLK2;KLHL21;BAZ1A;HSPE1;DNAJA1;MAFF;PELI1;EZR;SGK1;TRIB1;ATF3;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 MDAMB231 3H-QL-XII-47-10	23/130	2.219852e-22	3.632270e-19	0	0	2.391568e+01	1.192422e+03	TGIF1;BTG2;CDKN1A;BTG1;SERPINB2;TIPARP;TNFAIP3;SAT1;AREG;TOB1;ETS2;KLK11;NFKBIA;PTP4A1;KLF6;TUBB2A;MYC;NAMPT;MAFF;SGK1;ATF3;MCL1;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 A375 24H-radicicol-10	23/132	3.205485e-22	4.917213e-19	0	0	2.347447e+01	1.161799e+03	DSP;BRD2;BTG2;CDKN1A;SERPINB2;PLK2;KRT5;DNAJB1;KLF6;BAG3;MYC;MAFF;KRT14;PELI1;MIR22HG;PMAIP1;SFN;EZR;TRIB1;SGK1;ATF3;ATF4;HBEGF
LINCS_L1000_Chem_Pert_up	LJP005 HA1E 24H-dovitinib-10	24/151	3.766258e-22	5.437591e-19	0	0	2.112348e+01	1.042038e+03	BTG3;BTG2;CDKN1A;CSTA;CXADR;BTG1;S100A2;KRT5;SAT1;AREG;TOB1;ETS2;SERPINB5;EFNA1;KLF5;DNAJB6;FXYD3;CA2;KRT15;MAFF;KRT14;PMAIP1;SFN;ATF3
LINCS_L1000_Chem_Pert_up	LJP006 HME1 3H-QL-XII-47-3.33	23/135	5.496815e-22	7.495212e-19	0	0	2.284221e+01	1.118188e+03	TGIF1;BTG2;CDKN1A;DUSP2;BTG1;TIPARP;TNFAIP3;ADRB2;AREG;TM4SF1;EFNA1;NFKBIA;DNAJB1;CLDN4;KLF6;ZC3H12A;MAFF;KRT14;PMAIP1;MAP3K8;ATF3;MCL1;HBEGF
LINCS_L1000_Chem_Pert_up	LJP006 SKBR3 3H-withaferin-a-3.33	20/89	8.255624e-22	1.066453e-18	0	0	3.177295e+01	1.542449e+03	BTG2;CDKN1A;DUSP2;TIPARP;HSPB1;HSPD1;DNAJA1;DNAJB1;ARL4A;KLF6;HSPH1;FABP5;CHMP1B;MAFF;PELI1;TRIB1;ATF3;EPHA2;HBEGF;MCL1
