Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,33/722,2.4764491700761523e-13,1.4820607187664608e-10,0,0,5.481023439333235,159.09646407507006,COX7B;CDKN1A;RPLP1;COX6A1;AREG;COX5A;ETS2;DNAJB1;MAP1LC3B;HSPH1;RPS19;DNAJB6;BAG3;MYC;PRDX1;BAG1;H3-3B;H2AZ1;MAP2K3;KDM6B;HSPA8;HSP90AA1;RPS7;HMGA1;DYNLL1;DNAJA1;CYCS;ETF1;FKBP4;RPS21;ATF3;ATF4;NFE2L2
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,33/736,4.2103997692229e-13,1.4820607187664608e-10,0,0,5.367935537176003,152.9649519956087,COX7B;CDKN1A;RPLP1;COX6A1;AREG;COX5A;ETS2;DNAJB1;MAP1LC3B;HSPH1;RPS19;DNAJB6;BAG3;MYC;PRDX1;BAG1;H3-3B;H2AZ1;MAP2K3;KDM6B;HSPA8;HSP90AA1;RPS7;HMGA1;DYNLL1;DNAJA1;CYCS;ETF1;FKBP4;RPS21;ATF3;ATF4;NFE2L2
Reactome_2022,Developmental Biology R-HSA-1266738,34/1073,2.0971769917678914e-09,4.921375340681984e-07,0,0,3.698377726497907,73.90347527698914,CSTA;CDKN1A;RBM8A;RPLP1;EIF4A3;CLTB;RPS19;MYC;PERP;H3-3B;H2AZ1;VASP;HSPA8;HSP90AA1;JUP;RPS7;KRT1;KRT5;KRT10;EFNA1;MYL6;KLF5;ARPC2;KRT15;KRT14;PKP1;DSG1;ETF1;PKP3;PFN1;EZR;RPS21;EPHA2;DSC3
Reactome_2022,HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,7/38,8.73621199231283e-08,1.537573310647058e-05,0,0,23.129366538525822,375.9263140997042,DNAJA1;DNAJB1;HSPA8;HSP90AA1;DYNLL1;FKBP4;AREG
Reactome_2022,Attenuation Phase R-HSA-3371568,6/26,1.8076454923276698e-07,2.5451648531973594e-05,0,0,30.587628865979383,474.90568175648224,DNAJB1;HSPA8;HSP90AA1;HSPH1;DNAJB6;FKBP4
Reactome_2022,SARS-CoV Infections R-HSA-9679506,16/369,1.0143580846836271e-06,0.00011901801526954556,0,0,4.790491439832492,66.11479189771354,DDX5;HSP90AA1;RPS7;CSNK1A1;ATP1B3;YWHAZ;HLA-E;MAP1LC3B;RPS19;FXYD3;FKBP4;KPNA2;RPS21;SNRPB;NFE2L2;YWHAH
Reactome_2022,Keratinization R-HSA-6805567,12/208,1.287460189643558e-06,0.0001238336316792931,0,0,6.384281372123318,86.58898118236549,CSTA;JUP;KRT15;PERP;KRT1;KRT14;PKP1;DSG1;KRT5;KRT10;PKP3;DSC3
Reactome_2022,HSF1-dependent Transactivation R-HSA-3371571,6/36,1.4072003599919673e-06,0.0001238336316792931,0,0,20.38144329896907,274.6176998194445,DNAJB1;HSPA8;HSP90AA1;HSPH1;DNAJB6;FKBP4
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,15/354,2.9609298585222394e-06,0.00023161051337773964,0,0,4.654628079406841,59.25344895284996,COX7B;BTG2;CDKN1A;PLK2;COX6A1;COX5A;YWHAZ;BBC3;PPP2CA;PRDX1;PERP;PMAIP1;CYCS;SGK1;YWHAH
Reactome_2022,Infectious Disease R-HSA-5663205,26/961,3.895850292752541e-06,0.00027426786060977894,0,0,3.0148749154834347,37.55207177287429,DDX5;RPLP1;ADRB2;MAP1LC3B;RPS19;KPNA2;YWHAH;MAP2K3;HSP90AA1;RPS7;CSNK1A1;PLK2;HMGA1;ATP1B3;DYNLL1;YWHAZ;HLA-E;ARPC2;FXYD3;FKBP4;SLC25A5;RPS21;PPIA;HBEGF;SNRPB;NFE2L2
