Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LINCS_L1000_Chem_Pert_down	LJP005 HEPG2 24H-pelitinib-10	25/113	7.793646e-27	1.519917e-22	0	0	3.200000e+01	1.923728e+03	COL15A1;C1S;ADH1B;SDC2;LTBP1;C3;RBM3;CALD1;CTSK;GPC3;TIMP3;CD99;LUM;SERPINF1;CIRBP;DCN;ASPN;COL1A1;VCAN;COL3A1;COL1A2;COL6A2;MGP;COL6A3;TCF4
LINCS_L1000_Chem_Pert_down	LJP006 HME1 24H-QL-XII-47-1.11	26/152	8.781084e-25	8.562435e-21	0	0	2.333169e+01	1.292390e+03	LGALS3BP;SPARC;NNMT;CFH;FHL1;HTRA1;AEBP1;LOXL1;CST3;CALD1;NDN;TIMP3;IGFBP7;IGFBP4;LUM;TUBB;TSC22D3;BGN;DCN;COL1A1;COL3A1;COL1A2;CXCL12;MGP;COL6A3;LY6E
LINCS_L1000_Chem_Pert_down	LJP006 SKBR3 24H-BI-2536-10	27/179	3.519656e-24	2.288011e-20	0	0	2.017402e+01	1.089471e+03	COL15A1;NNMT;CFH;C1S;ADH1B;C1R;FBLN1;PTN;CLU;CXCL14;EFEMP2;EFEMP1;TSPAN4;IGFBP7;CTSF;ANXA1;IGFBP4;RARRES2;CLEC11A;PCOLCE;PDGFRL;DCN;ASPN;VCAN;LOX;COL6A2;MGP
LINCS_L1000_Chem_Pert_down	LJP008 PC3 24H-I-BET151-3.33	27/187	1.175687e-23	5.732064e-20	0	0	1.915751e+01	1.011471e+03	LGALS3BP;SPARC;C1S;C1R;NUCKS1;CXCL14;LOXL1;C3;MDK;IGFBP7;IGFBP6;ANXA1;SERPINF1;TMEM176B;TMEM176A;PCOLCE;PDGFRL;COL1A1;VCAN;COL3A1;COL1A2;LOX;COL6A2;COL6A1;MGP;S100A6;S100A4
LINCS_L1000_Chem_Pert_down	LJP006 HME1 24H-XMD-1150-10	25/151	1.707149e-23	6.658564e-20	0	0	2.230612e+01	1.169390e+03	COL15A1;SPARC;NNMT;CFH;FHL1;CXCL14;FSTL1;LOXL1;LGALS1;IGFBP7;APOD;TIMP1;ANXA1;IGFBP4;FN1;PCOLCE;EMP3;COL1A1;VCAN;COL3A1;COL1A2;LOX;COL6A2;COL6A1;COL6A3
LINCS_L1000_Chem_Pert_down	LJP006 HA1E 24H-QL-XII-47-3.33	27/195	3.707739e-23	1.205139e-19	0	0	1.823782e+01	9.419658e+02	LGALS3BP;SPARC;CFH;SDC2;FHL1;FBLN1;LOXL1;CALD1;ARL6IP5;TSPAN4;TIMP3;IGFBP7;PTGDS;IGFBP5;IGFBP4;LUM;TUBB;MMP2;EMP3;PDGFRL;DCN;COL1A1;CXCL12;LOX;DDAH2;TTC3;MGP
LINCS_L1000_Chem_Pert_down	LJP006 HA1E 24H-BI-2536-10	24/154	6.125161e-22	1.706470e-18	0	0	2.063287e+01	1.007801e+03	IFITM3;LGALS3BP;FKBP10;IFITM2;SPARC;IGFBP5;IGFBP4;MMP2;TMEM176B;BGN;PCOLCE;EMP3;CXCL14;LOXL1;COL1A1;VCAN;RCN1;EFEMP1;CXCL12;PDLIM2;LOX;CALD1;OLFML3;TSPAN4
LINCS_L1000_Chem_Pert_down	LJP009 HA1E 24H-CH5424802-10	24/155	7.185812e-22	1.751721e-18	0	0	2.047432e+01	9.967876e+02	IGFBP5;LUM;SDC2;FHL1;LTBP1;LOXL1;FBLN5;DCN;COL1A1;EID1;MFAP4;VCAN;EFEMP1;LOX;CALD1;DDAH2;CDH11;MGP;SERPING1;TXNIP;ITGBL1;TCF4;RABAC1;PPIC
LINCS_L1000_Chem_Pert_down	LJP006 SKBR3 24H-XMD-1150-10	22/122	1.217298e-21	2.637750e-18	0	0	2.434831e+01	1.172558e+03	NNMT;ANXA1;C1S;IGFBP4;ADH1B;C1R;RARRES2;BGN;PCOLCE;FBLN1;AEBP1;CXCL14;DCN;ASPN;C3;COL1A1;RCN1;EFEMP1;CXCL12;LOX;COL6A2;TSPAN4
LINCS_L1000_Chem_Pert_down	LJP007 HA1E 24H-NVP-BGT226-1.11	23/142	1.837169e-21	3.582846e-18	0	0	2.149091e+01	1.026106e+03	IFITM3;LGALS3BP;IFITM2;SPARC;NNMT;IGFBP5;SDC2;TUBB;FHL1;THY1;LOXL1;DCN;COL1A1;COL3A1;EFEMP1;COL1A2;LOX;CALD1;MDK;OLFML3;CDH11;PPIB;PPIC
