Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	24/468	5.811643e-11	4.405225e-08	0	0	5.944717e+00	1.401085e+02	CD63;HSPA8;ASAH1;SERPINB1;FCER1G;HSP90AB1;GMFG;PLAUR;CYBA;SLC2A3;DYNLL1;SVIP;CPPED1;VAMP8;LGALS3;SDCBP;TYROBP;FTH1;CTSG;B2M;CD33;CD44;ITM2C;FTL
Reactome_2022	Innate Immune System R-HSA-168249	35/1035	2.077777e-10	7.874776e-08	0	0	3.987879e+00	8.890797e+01	CD63;ASAH1;HSP90AB1;GMFG;TNFAIP3;SLC2A3;CLU;LGALS3;SDCBP;SOCS1;UBB;FTH1;GRAP2;RAC2;FCER1A;CTSG;B2M;CD33;HSPA8;SERPINB1;FCER1G;PLAUR;CYBA;DYNLL1;SVIP;CPPED1;VAMP8;NFKBIA;TYROBP;BTK;MS4A2;CD44;ITM2C;FTL;BIRC3
Reactome_2022	Immune System R-HSA-168256	49/1943	8.308570e-10	2.099299e-07	0	0	3.067876e+00	6.414487e+01	HSP90AB1;SH3KBP1;GMFG;TNFAIP3;SLC2A3;CLU;LGALS3;FTH1;GRAP2;RAC2;FCER1A;CTSG;AP1S3;SEC61B;B2M;CD33;SERPINB1;ANXA1;FCER1G;PLAUR;CYBA;DYNLL1;VAMP8;TYROBP;BTK;MS4A2;HCST;SQSTM1;CD44;FTL;BIRC3;CD63;ASAH1;SDCBP;IL1RL1;SOCS1;UBB;CCL2;PAG1;HSPA8;HSPA5;TNFRSF9;LIF;SVIP;CPPED1;BATF;NFKBIA;VIM;ITM2C
Reactome_2022	Cellular Responses To Stress R-HSA-2262752	25/722	6.698801e-08	1.269423e-05	0	0	3.915352e+00	6.467672e+01	HSP90AB1;RPL34;DNAJB1;HSPH1;UBB;DNAJB6;RPL36AL;PRDX1;EXOSC8;LMNA;DNAJB9;CCL2;RPL39;H3-3B;H2AZ1;HSPA8;RPL41;RPL21;HSPA5;CYBA;DYNLL1;DNAJA1;RPS29;TNIK;SQSTM1
Reactome_2022	Cellular Responses To Stimuli R-HSA-8953897	25/736	9.669733e-08	1.465932e-05	0	0	3.835443e+00	6.194885e+01	HSP90AB1;RPL34;DNAJB1;HSPH1;UBB;DNAJB6;RPL36AL;PRDX1;EXOSC8;LMNA;DNAJB9;CCL2;RPL39;H3-3B;H2AZ1;HSPA8;RPL41;RPL21;HSPA5;CYBA;DYNLL1;DNAJA1;RPS29;TNIK;SQSTM1
Reactome_2022	Attenuation Phase R-HSA-3371568	6/26	1.807645e-07	2.283659e-05	0	0	3.058763e+01	4.749057e+02	DNAJB1;HSPA8;HSP90AB1;HSPH1;DNAJB6;UBB
Reactome_2022	SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	9/108	1.390951e-06	1.257846e-04	0	0	9.376963e+00	1.264533e+02	RPL41;SPCS2;RPL21;SSR4;RPL36AL;RPS29;RPL34;SEC61B;RPL39
Reactome_2022	HSF1-dependent Transactivation R-HSA-3371571	6/36	1.407200e-06	1.257846e-04	0	0	2.038144e+01	2.746177e+02	DNAJB1;HSPA8;HSP90AB1;HSPH1;DNAJB6;UBB
Reactome_2022	Signal Transduction R-HSA-162582	49/2465	1.493484e-06	1.257846e-04	0	0	2.334920e+00	3.132154e+01	HSP90AB1;SH3KBP1;GPR65;TNFAIP3;YBX1;TUBA1B;HEY1;RGS1;GRAP2;STMN1;ARHGDIB;RAC2;TMED2;H3-3B;ANXA1;RHOH;CYBA;DYNLL1;ARL4C;ADCYAP1;KIT;CDC42EP3;ALDH1A1;BTK;UTS2;SGK1;SQSTM1;BIRC3;DDX5;ARHGAP18;PRKX;STK4;DNAJB1;IL1RL1;SOCS1;UBB;LEO1;CCL2;MAPK6;PAG1;H2AZ1;JUND;CMA1;HSPE1;NFKBIA;GPR183;ID2;RGS10;VIM
Reactome_2022	HSF1 Activation R-HSA-3371511	5/29	9.291745e-06	7.043142e-04	0	0	2.112821e+01	2.447995e+02	DNAJB1;HSP90AB1;HSPH1;DNAJB6;UBB
Reactome_2022	Synthesis Of Lipoxins (LX) R-HSA-2142700	3/6	1.926952e-05	1.327845e-03	0	0	1.004924e+02	1.091044e+03	HPGD;ALOX5AP;LTC4S
Reactome_2022	HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497	5/38	3.650786e-05	2.306080e-03	0	0	1.535897e+01	1.569377e+02	DNAJA1;DNAJB1;HSPA8;HSP90AB1;DYNLL1
Reactome_2022	Chaperone Mediated Autophagy R-HSA-9613829	4/20	4.146799e-05	2.417903e-03	0	0	2.523469e+01	2.546329e+02	HSPA8;HSP90AB1;UBB;PLIN2
Reactome_2022	Metabolism Of Proteins R-HSA-392499	37/1890	5.346919e-05	2.894975e-03	0	0	2.198521e+00	2.162554e+01	CPM;DDX5;RPL34;TNFAIP3;METTL21A;TUBA1B;UBB;RPL36AL;LEO1;TMED2;CTSG;SEC61B;B2M;RPL39;H3-3B;H2AZ1;ANKRD28;HSPA8;RPL41;RPL21;SSR4;CMA1;PLAUR;RAB27B;MITF;COMMD6;DYNLL1;RAB32;NR4A2;NFKBIA;MSRA;SPCS2;RPS29;DAD1;SQSTM1;PFDN5;BIRC3
Reactome_2022	Cellular Response To Heat Stress R-HSA-3371556	7/99	6.162160e-05	3.113945e-03	0	0	7.769543e+00	7.532182e+01	HSPA8;DNAJB1;HSPH1;HSP90AB1;UBB;HSPA5;DNAJB6
Reactome_2022	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	7/107	1.009216e-04	4.781163e-03	0	0	7.145078e+00	6.574305e+01	HSPA8;SOCS1;ANXA1;LIF;CCL2;VIM;BATF
Reactome_2022	Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453	6/81	1.614644e-04	6.931871e-03	0	0	8.134021e+00	7.101997e+01	DNAJB1;HSPA8;HSPH1;DNAJB6;UBB;HSPA5
Reactome_2022	DAP12 Signaling R-HSA-2424491	4/28	1.646091e-04	6.931871e-03	0	0	1.681633e+01	1.465028e+02	TYROBP;GRAP2;BTK;B2M
Reactome_2022	Golgi Associated Vesicle Biogenesis R-HSA-432722	5/55	2.205026e-04	8.384051e-03	0	0	1.012821e+01	8.527545e+01	VAMP8;HSPA8;FTH1;AP1S3;FTL
Reactome_2022	Peptide Chain Elongation R-HSA-156902	6/86	2.244482e-04	8.384051e-03	0	0	7.623711e+00	6.405340e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Late Endosomal Microautophagy R-HSA-9615710	4/31	2.471030e-04	8.384051e-03	0	0	1.494558e+01	1.241336e+02	HSPA8;UBB;PLIN2;VPS37B
Reactome_2022	NF-kB Is Activated And Signals Survival R-HSA-209560	3/13	2.616581e-04	8.384051e-03	0	0	3.013706e+01	2.485847e+02	NFKBIA;UBB;SQSTM1
Reactome_2022	Selenocysteine Synthesis R-HSA-2408557	6/90	2.875796e-04	8.384051e-03	0	0	7.259205e+00	5.919163e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Eukaryotic Translation Elongation R-HSA-156842	6/90	2.875796e-04	8.384051e-03	0	0	7.259205e+00	5.919163e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Eukaryotic Translation Termination R-HSA-72764	6/90	2.875796e-04	8.384051e-03	0	0	7.259205e+00	5.919163e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Viral mRNA Translation R-HSA-192823	6/90	2.875796e-04	8.384051e-03	0	0	7.259205e+00	5.919163e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Autophagy R-HSA-9612973	7/128	3.067777e-04	8.612500e-03	0	0	5.898728e+00	4.771710e+01	HSPA8;HSP90AB1;UBB;PLIN2;VPS37B;DYNLL1;SQSTM1
Reactome_2022	Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	6/92	3.239703e-04	8.770338e-03	0	0	7.089667e+00	5.696447e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202	7/130	3.371469e-04	8.812321e-03	0	0	5.802224e+00	4.638874e+01	NFKBIA;FCER1G;UBB;GRAP2;BTK;FCER1A;MS4A2
Reactome_2022	Selective Autophagy R-HSA-9663891	5/61	3.592602e-04	9.077307e-03	0	0	9.040293e+00	7.170276e+01	HSPA8;UBB;PLIN2;DYNLL1;SQSTM1
Reactome_2022	Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012	6/98	4.551605e-04	1.078161e-02	0	0	6.625280e+00	5.098061e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	6/98	4.551605e-04	1.078161e-02	0	0	6.625280e+00	5.098061e+01	RPL41;RPL21;RPL36AL;RPS29;RPL34;RPL39
Reactome_2022	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	14/496	4.895355e-04	1.117212e-02	0	0	3.016687e+00	2.299335e+01	JUND;CMA1;SH3KBP1;CYBA;STK4;ADCYAP1;SOCS1;UBB;ID2;GRAP2;STMN1;KIT;SGK1;PAG1
Reactome_2022	p75NTR Signals Via NF-kB R-HSA-193639	3/16	5.011240e-04	1.117212e-02	0	0	2.317884e+01	1.761280e+02	NFKBIA;UBB;SQSTM1
Reactome_2022	Antigen processing-Cross Presentation R-HSA-1236975	6/104	6.244952e-04	1.352478e-02	0	0	6.217757e+00	4.587814e+01	VAMP8;UBB;BTK;CYBA;SEC61B;B2M
