Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),25/85,2.7801298681832844e-30,3.247191686038076e-27,0,0,47.0,3198.587591957697,COX7B;NDUFA13;NDUFB8;UQCRB;NDUFB5;COX4I1;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;CYC1;COX8A;MDH2;NDUFA1;COX6C;COX6B1;UQCRQ;NDUFS5;UQCRC1;UQCRC2
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),23/68,1.4816078314328044e-29,8.652589735567578e-27,0,0,57.045197740113,3786.765179234507,COX8A;COX7B;NDUFB8;UQCRB;NDUFB5;COX4I1;NDUFB2;NDUFA1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;UQCRQ;NDUFS5;UQCRC1;UQCRC2;CYC1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),23/70,3.25408062425906e-29,1.266922056378194e-26,0,0,54.61221300637096,3582.2912748208587,COX8A;COX7B;NDUFB8;UQCRB;NDUFB5;COX4I1;NDUFB2;NDUFA1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;UQCRQ;NDUFS5;UQCRC1;UQCRC2;CYC1
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),18/43,2.240386084665794e-25,6.541927367224118e-23,0,0,78.23076923076923,4440.220366119916,COX8A;COX7B;UQCRB;COX4I1;COX7A2;UQCR11;UQCR10;COX5B;COX6A1;COX6C;COX5A;COX7C;UQCRH;COX6B1;UQCRQ;UQCRC1;CYC1;UQCRC2
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),16/63,1.3209888916122769e-18,3.0858300508062787e-16,0,0,36.54579093432008,1504.5226416985406,NDUFA13;NDUFB8;ATP5PD;UQCRB;NDUFB5;NDUFB2;NDUFA1;CHCHD10;ATP5F1C;UQCRH;ATP5F1B;NDUFS5;UQCRC1;ATP5PO;UQCRC2;ATP5MG
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",10/16,6.057577812405317e-17,1.1792084808149016e-14,0,0,173.6315789473684,6483.860948255711,COX8A;COX7B;COX4I1;COX7A2;COX5B;COX6A1;COX6C;COX5A;COX7C;COX6B1
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),13/60,2.3098548963562284e-14,3.854157884205822e-12,0,0,29.217089543747868,917.3875872645956,NDUFA13;NDUFB8;ATP5PD;NDUFB5;ATP5MC2;NDUFB2;NDUFA1;ATP5MC3;ATP5F1C;ATP5F1B;NDUFS5;ATP5PO;ATP5MG
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),14/93,4.69256448737337e-13,6.851144151565119e-11,0,0,18.789573975772424,533.3914170789263,RPL41;RPL3;RPL21;RPS5;RPLP0;RPS6;RPL10A;RPL8;RPL9;RPL7;RPS14;RPL18A;RPS18;RPL15
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),12/59,5.323226508838199e-13,6.908365069247796e-11,0,0,26.82616568583069,758.1483951807955,NDUFA13;NDUFB8;UQCRB;NDUFB5;MDH2;NDUFS5;UQCRC1;NDUFB2;NDUFA1;CHCHD10;UQCRC2;UQCRH
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),11/53,4.007119680035862e-12,4.680315786281887e-10,0,0,27.379440665154952,718.5172490614301,NDUFA13;NDUFB8;ATP5F1B;ATP5PD;NDUFB5;NDUFS5;NDUFB2;NDUFA1;ATP5PO;ATP5F1C;ATP5MG
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",7/12,6.831633160209499e-12,7.253952301022452e-10,0,0,143.59067357512953,3691.638298888917,UQCRB;UQCRQ;UQCRC1;UQCR11;UQCR10;UQCRC2;UQCRH
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),16/183,4.878453476770951e-11,4.748361384057058e-09,0,0,10.222858630564955,242.7275455488501,RPL41;RPL3;RPL21;RPS5;RPS6;RPLP0;RPL10A;RPL8;RPL9;RPL7;TUFM;EEF1A1;RPS14;RPL18A;RPS18;RPL15
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),15/158,6.197081321788054e-11,5.567839218344961e-09,0,0,11.145530145530143,261.9685261405865,RPL41;RPL3;RPL21;RPS5;RPS6;RPLP0;RPL10A;RPL8;RPL9;RPL7;EEF1A1;RPS14;RPL18A;RPS18;RPL15
GO_Biological_Process_2023,ATP Biosynthetic Process (GO:0006754),8/25,8.122899910493494e-11,6.7768193538974306e-09,0,0,48.48774509803921,1126.552089519398,ATP5F1A;ATP5F1B;ATP5PD;ATP5MC2;ATP5PO;ATP5MC3;ATP5F1C;ATP5MG
GO_Biological_Process_2023,Translation (GO:0006412),16/234,1.8562947972359955e-09,1.4454348821144282e-07,0,0,7.810929397686478,157.03626244775148,RPL41;RPL3;RPL21;RPS5;RPLP0;RPS6;RPL8;RPL10A;RPL9;RPL7;TUFM;EEF1A1;RPS14;RPL18A;RPS18;RPL15
GO_Biological_Process_2023,Gene Expression (GO:0010467),15/296,3.160058870633117e-07,2.3068429755621748e-05,0,0,5.632105415023564,84.29856592376709,RPL41;RPL3;RPL21;RPS5;RPLP0;RPS6;RPL8;RPL10A;RPL9;RPL7;EEF1A1;RPS14;RPL18A;RPS18;RPL15
GO_Biological_Process_2023,Intermediate Filament Organization (GO:0045109),8/68,3.84399036008612e-07,2.641047494459169e-05,0,0,13.708333333333334,202.4938064855017,KRT19;KRT17;KRT16;KRT14;KRT23;KRT77;KRT6B;KRT6A
GO_Biological_Process_2023,Purine Ribonucleoside Triphosphate Biosynthetic Process (GO:0009206),4/10,1.9440565830475138e-06,0.0001261476716110831,0,0,67.3265306122449,885.3932781130271,ATP5F1A;ATP5F1B;ATP5PO;ATP5F1C
GO_Biological_Process_2023,Epithelium Development (GO:0060429),10/154,3.5156870822762835e-06,0.0002161222374788789,0,0,7.184210526315789,90.22129561648688,LGALS3;GSTK1;KRT19;SPINT1;KRT17;KRT16;KRT14;KRT23;RHCG;KRT6A
GO_Biological_Process_2023,Epithelial Cell Differentiation (GO:0030855),9/132,7.341813904621044e-06,0.00042876193202986897,0,0,7.538117737198315,89.11505966507661,LGALS3;GSTK1;KRT19;ANXA1;KRT17;KRT16;KRT14;KRT23;RHCG
GO_Biological_Process_2023,Proton Transmembrane Transport (GO:1902600),6/49,9.068384089326396e-06,0.0005043748864920586,0,0,14.210261328218651,164.99131524160097,ATP6V0B;ATP5F1B;ATP5PO;ATP1A1;ATP1B1;ATP6V1B1
GO_Biological_Process_2023,Pyruvate Metabolic Process (GO:0006090),6/50,1.0219798089852524e-05,0.0005425783713158068,0,0,13.88659793814433,159.57344828850043,TPI1;PKM;PDHA1;KRT17;ENO1;GAPDH
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),6/53,1.440163527717238e-05,0.0007008795834890557,0,0,12.998245229216934,144.90663187900708,NDUFA13;NDUFB8;NDUFB5;NDUFS5;NDUFB2;NDUFA1
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),6/53,1.440163527717238e-05,0.0007008795834890557,0,0,12.998245229216934,144.90663187900708,NDUFA13;NDUFB8;NDUFB5;NDUFS5;NDUFB2;NDUFA1
GO_Biological_Process_2023,Gluconeogenesis (GO:0006094),5/32,1.5377155419858243e-05,0.0007184207012157771,0,0,18.77777777777778,208.10711759419505,TPI1;MDH1;KRT17;MDH2;ENO1
GO_Biological_Process_2023,ATP Metabolic Process (GO:0046034),5/34,2.0905707910418636e-05,0.000939148724591114,0,0,17.480990274093724,188.3662067044033,ATP5F1A;ATP5F1B;ATP5PO;ATP1B1;ATP5F1C
GO_Biological_Process_2023,Hexose Biosynthetic Process (GO:0019319),5/35,2.419294457456146e-05,0.0010465688615958,0,0,16.897435897435898,179.61044178472525,TPI1;MDH1;KRT17;MDH2;ENO1
GO_Biological_Process_2023,Intracellular Sodium Ion Homeostasis (GO:0006883),4/18,2.660404294293577e-05,0.0010831531065409,0,0,28.84256559766764,303.8404891137544,SCNN1B;ATP1B3;ATP1A1;ATP1B1
GO_Biological_Process_2023,Glucose Metabolic Process (GO:0006006),6/59,2.6893356241170177e-05,0.0010831531065409,0,0,11.523244504960124,121.26637633957364,TPI1;MDH1;KRT17;MDH2;DCXR;ENO1
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),5/46,9.34439910541812e-05,0.0036380860517094,0,0,12.357098186366478,114.6509898683154,ATP5F1A;ATP5F1B;ANXA1;HSPB1;CIB1
GO_Biological_Process_2023,Sodium Ion Homeostasis (GO:0055078),4/25,0.00010411396073230693,0.0039227453592043,0,0,19.221574344023324,176.26230732641343,SCNN1B;ATP1B3;ATP1A1;ATP1B1
GO_Biological_Process_2023,Glycolytic Process (GO:0006096),4/29,0.00018946001545207968,0.0069152905640009,0,0,16.142857142857142,138.36579697475634,TPI1;PKM;ENO1;GAPDH
GO_Biological_Process_2023,Sodium Ion Export Across Plasma Membrane (GO:0036376),3/12,0.00020276702349047895,0.0071767237405114,0,0,33.48730964467005,284.75776049641166,ATP1B3;ATP1A1;ATP1B1
GO_Biological_Process_2023,Epidermis Development (GO:0008544),6/85,0.0002105199505203156,0.0072319794766978,0,0,7.7206055069816,65.36210680281118,SCEL;CALML5;SPINT1;CRABP2;FABP5;KRT14
GO_Biological_Process_2023,Intracellular Potassium Ion Homeostasis (GO:0030007),3/13,0.00026165809515097364,0.0087319044324667,0,0,30.13705583756345,248.5846578261998,ATP1B3;ATP1A1;ATP1B1
