Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Oxidative phosphorylation,37/133,1.4895481540528846e-43,2.651395714214134e-41,0,0,46.59049079754601,4594.413447855022,NDUFA13;COX7B;NDUFB8;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;CYC1;ATP5MG;ATP6V1C2;COX8A;ATP6V1G1;ATP6V0B;ATP5PD;NDUFA1;ATP5F1C;COX6C;COX6B1;PPA1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;UQCRC2;ATP6V1B1
KEGG_2021_Human,Diabetic cardiomyopathy,36/203,1.0878113037533638e-34,9.681520603404938e-33,0,0,25.806484591792024,2018.16323616759,COX7B;NDUFA13;NDUFB8;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;CYC1;CTSD;COX8A;PDHA1;ATP5PD;NDUFA1;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;VDAC2;UQCRC2;SLC25A5;GAPDH
KEGG_2021_Human,Parkinson disease,38/249,4.959488330686145e-34,2.9426297428737794e-32,0,0,21.777017143525832,1670.0051978593688,COX7B;NDUFA13;NDUFB8;CALML5;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;KLC3;ATP5F1B;UBB;UBC;CYC1;COX8A;ATP5PD;NDUFA1;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;VDAC2;UQCRC2;SLC25A5;CALM2
KEGG_2021_Human,Thermogenesis,34/232,7.416275009896415e-30,3.300242379403904e-28,0,0,20.27710843373494,1360.064254267861,COX7B;NDUFA13;NDUFB8;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;CYC1;ATP5MG;COX8A;ATP5PD;ACSL1;RPS6;NDUFA1;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;UQCRC2
KEGG_2021_Human,Huntington disease,36/306,3.9260564631565934e-28,1.397676100883747e-26,0,0,15.878048780487806,1001.9802531506116,COX7B;NDUFA13;NDUFB8;UQCRB;NDUFB5;COX4I1;CLTB;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;KLC3;ATP5F1B;AP2S1;CYC1;COX8A;ATP5PD;NDUFA1;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;VDAC2;UQCRC2;SLC25A5
KEGG_2021_Human,Prion disease,34/273,1.9993504109438757e-27,5.931406219133497e-26,0,0,16.763472299238796,1030.5675704300938,COX7B;NDUFA13;NDUFB8;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;KLC3;ATP5F1B;CYC1;COX8A;ATP5PD;NDUFA1;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;VDAC2;UQCRC2;SLC25A5
KEGG_2021_Human,Alzheimer disease,37/369,2.195541025568855e-26,5.5829471793036585e-25,0,0,13.310592061497523,786.4002134431512,COX7B;NDUFA13;NDUFB8;CALML5;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;KLC3;ATP5F1B;CYC1;COX8A;ATP5PD;NDUFA1;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;VDAC2;UQCRC2;SLC25A5;CALM2;GAPDH
KEGG_2021_Human,Cardiac muscle contraction,21/87,1.461238640665827e-23,3.1131086049717493e-22,0,0,35.07821229050279,1844.418459498221,COX8A;COX7B;UQCRB;COX4I1;ATP1B3;COX7A2;UQCR11;ATP1A1;UQCR10;COX6A1;ATP1B1;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;UQCRQ;UQCRC1;UQCRC2;CYC1
KEGG_2021_Human,Pathways of neurodegeneration,38/475,1.5740436766711092e-23,3.1131086049717493e-22,0,0,10.39345142243693,545.716577735991,COX7B;NDUFA13;NDUFB8;CALML5;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;KLC3;ATP5F1B;UBB;UBC;CYC1;COX8A;ATP5PD;NDUFA1;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;VDAC2;UQCRC2;SLC25A5;CALM2
KEGG_2021_Human,Amyotrophic lateral sclerosis,33/364,3.5076927235378933e-22,6.243693047897449e-21,0,0,11.622863035258788,574.1916750835524,COX7B;NDUFA13;NDUFB8;UQCRB;NDUFB5;COX4I1;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5F1A;KLC3;ATP5F1B;CYC1;COX8A;ATP5PD;NDUFA1;CHCHD10;COX6C;ATP5F1C;COX6B1;UQCRQ;NDUFS5;UQCRC1;ATP5PO;UQCRC2
