Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
LINCS_L1000_Chem_Pert_down,LJP008 A375 24H-I-BET-10,21/102,5.5016140593573195e-22,1.1924748473656988e-17,0,0,28.560521415270017,1398.0898042071594,IFITM3;SRGN;IFITM2;VWF;GMFG;GNG11;TM4SF1;PSMB8;ELK3;BST2;RCAN1;HLA-DMA;FABP5;RAB13;TAGLN2;CD59;KCTD12;FXYD5;HLA-DQA1;HLA-DPA1;HLA-DQB1
LINCS_L1000_Chem_Pert_down,LJP006 HME1 24H-sirolimus-10,26/199,1.1396121538762948e-21,1.2350546717634347e-17,0,0,16.95242841007242,817.5071091175432,IFITM3;IFITM1;IFITM2;SPARC;CRIP2;PRSS23;ELK3;IFI16;TIMP3;STOM;CD59;IGFBP7;A2M;CAV2;CAV1;ARHGAP29;HSPG2;TM4SF1;PSMB8;PSMB9;TGFBR2;FABP4;FABP5;ID1;CD320;ENG
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-radicicol-0.37,20/133,3.902105855364434e-18,2.819271480500804e-14,0,0,19.357915437561456,775.9623365598801,CD74;PLVAP;TSC22D1;CRIP2;LDB2;GNG11;TGFBR2;HLA-DMA;HLA-DPB1;SPARCL1;TXNIP;HLA-DRA;ITGA6;A2M;SPTBN1;HLA-DQA1;HLA-DRB1;MGLL;HLA-DPA1;HLA-DQB1
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-afatinib-10,20/136,6.151221641044884e-18,3.3331932267411964e-14,0,0,18.8544061302682,747.197870721055,CD74;SPARC;CAV2;IGFBP2;NEDD9;CRIP2;PRSS23;TM4SF1;CNN3;TGFBR2;SPARCL1;HLA-DRA;TIMP3;CTSH;IGFBP7;ITGA6;KCTD12;A2M;HLA-DRB1;HLA-DPA1
LINCS_L1000_Chem_Pert_down,LJP006 BT20 24H-XMD11-85H-10,16/74,2.203641880442125e-17,9.552787551716612e-14,0,0,29.598200899550225,1135.2045191922075,SPARC;VWF;CAV1;PRSS23;GNG11;TM4SF1;PSMB8;AQP1;FABP5;TNFSF10;PECAM1;TAGLN2;IGFBP7;VIM;ITM2A;MGLL
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-geldanamycin-1.11,21/182,1.4520214196349176e-16,5.24542737843114e-13,0,0,14.310663104202089,521.8870553237639,CD74;NRN1;LDB2;GNG11;TM4SF1;ELK3;TGFBR2;THBD;HLA-DMA;IFI16;FABP5;CCDC85B;ID1;HLA-DPB1;SPARCL1;HLA-DRA;TIMP3;ITGA6;FXYD5;HLA-DRB1;HLA-DPA1
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-geldanamycin-0.04,17/104,3.22336422464056e-16,8.733302446135516e-13,0,0,21.04899189749388,750.837240387833,CD74;COL15A1;TSC22D1;GNG11;TM4SF1;ELK3;TGFBR2;THBD;HLA-DMA;HLA-DPB1;SPARCL1;HLA-DRA;TIMP3;ITGA6;HLA-DRB1;HLA-DPA1;HLA-DQB1
LINCS_L1000_Chem_Pert_down,LJP006 HEPG2 24H-PD-0325901-0.37,17/104,3.22336422464056e-16,8.733302446135516e-13,0,0,21.04899189749388,750.837240387833,ANGPT2;IGFBP4;ARHGAP29;TFPI;TM4SF1;ELK3;ICAM1;TGFBR2;FABP5;ID1;TIMP3;ITGA6;SPRY1;ERG;UPP1;SPTBN1;MGLL
LINCS_L1000_Chem_Pert_down,LJP007 HEPG2 24H-PD-0325901-0.04,16/92,8.831758826317333e-16,2.106996307925783e-12,0,0,22.5675057208238,782.257615668859,CD74;COL15A1;FLT1;SPARC;CD93;CFLAR;GNG11;TM4SF1;ELK3;ICAM1;FABP5;PECAM1;SPARCL1;ITGA6;SPRY1;ERG
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-geldanamycin-3.33,18/131,1.0184708952464857e-15,2.106996307925783e-12,0,0,17.230671982884374,594.8109644414964,CD74;SPARC;NRN1;GNG11;TM4SF1;ELK3;HLA-DMA;FABP5;ID1;HLA-DPB1;SPARCL1;HLA-DRA;ITGA6;LMCD1;HLA-DRB1;MGLL;HLA-DPA1;HLA-DQB1
