Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	43/93	3.388737e-62	6.184445e-59	0	0	1.081847e+02	1.531244e+04	EIF4A2;RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL36AL;RACK1;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPS13;RPL19;RPS9;RPL41;RPL21;RPS6;RPL13A;RPL35A;RPS3A;RPSA;RPL23A;RPS25;RPS27;RPL24;RPS20;RPL26;RPL29;RPS23
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	44/183	1.016624e-48	9.276692e-46	0	0	3.989504e+01	4.408705e+03	RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL36AL;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPS13;RPL19;RPS9;RPL41;RPL21;RPS6;RPL13A;RPL35A;RPSA;RPS3A;RPL23A;EEF2;EEF1A1;RPS25;RPS27;EEF1D;RPL24;RPS20;RPL26;RPL29;RPS23
GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	42/158	1.582971e-48	9.629738e-46	0	0	4.510738e+01	4.964734e+03	RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL36AL;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPS13;RPL19;RPS9;RPL41;RPL21;RPS6;RPL13A;RPL35A;RPSA;RPS3A;RPL23A;EEF1A1;RPS25;RPS27;RPL24;RPS20;RPL26;RPL29;RPS23
GO_Biological_Process_2023	Translation (GO:0006412)	45/234	4.279089e-45	1.952334e-42	0	0	3.012442e+01	3.077589e+03	RPL5;RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL10A;RPL9;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL36AL;RPL14;RACK1;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPS13;RPL19;RPL41;RPS9;RPL21;RPS6;RPL13A;RPL35A;RPSA;RPS3A;RPL23A;EEF2;EEF1A1;RPS25;RPS27;EEF1D;RPL24;RPS20;RPL26;RPL29;RPS23
GO_Biological_Process_2023	Gene Expression (GO:0010467)	44/296	6.358800e-39	2.320962e-36	0	0	2.187912e+01	1.924290e+03	RPL5;RPL30;RPL3;RPL10;RPL32;RPL12;RPL34;RPL8;RPL10A;RPL9;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL36AL;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPS13;RPL19;RPL41;RPS9;RPL21;RPS6;RPL13A;RPL35A;RPSA;RPS3A;RPL23A;EEF1A1;RPS25;HNRNPK;RPS27;HNRNPA2B1;RPL24;RPS20;RPL26;RPL29;RPS23
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	17/118	2.902654e-15	8.828906e-13	0	0	1.811843e+01	6.064810e+02	RPL5;RPS9;NPM1;RPS6;RPL35A;RPS3A;RPL7;RPS4X;RPS14;RPS25;RPS16;RPS27;RPL14;RPL26;GLUL;RPS13;RPS23
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	18/155	2.080439e-14	5.424001e-12	0	0	1.419483e+01	4.471886e+02	RPL5;RPS9;NPM1;RPS6;RPL35A;RPS3A;RPL7;RPS4X;RPS14;RPS25;RPS16;RPS27;RPL14;RPL26;GLUL;NOP53;RPS13;RPS23
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	13/84	2.269359e-12	5.176974e-10	0	0	1.931739e+01	5.179287e+02	RPS9;NPM1;RPS6;RPS27L;RPS3A;RPSA;RPS4X;RPS14;RPS25;RPS16;RPS27;RPS13;RPS23
GO_Biological_Process_2023	Regulation Of Translation (GO:0006417)	17/202	2.183259e-11	4.427164e-09	0	0	9.849505e+00	2.417819e+02	EIF4A2;APP;RPL5;NPM1;RPL10;CIRBP;RPS27L;RPL13A;YBX1;EEF2;RPS4X;RACK1;RPS3;EIF3E;RPL26;VIM;GAPDH
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	29/705	1.017565e-10	1.857057e-08	0	0	4.797709e+00	1.103878e+02	ITGB1;RPL10;PARK7;HMGB1;ACTB;SOCS3;LGALS1;MYC;ARL6IP5;RACK1;RPS3;MCL1;NPM1;ANXA1;ANXA5;RPS6;RPS3A;SOD1;RSL1D1;MORF4L1;HNRNPK;GAS6;PTMA;PPIA;SQSTM1;NOP53;CD44;TPT1;HSPA1A
GO_Biological_Process_2023	rRNA Metabolic Process (GO:0016072)	12/91	1.135241e-10	1.883468e-08	0	0	1.593402e+01	3.648731e+02	RPL5;RPS25;RPS16;RPS27;CAVIN1;RPS6;RPL14;RPL35A;RPL26;NOP53;RPL7;ZFP36L1
GO_Biological_Process_2023	Positive Regulation Of Gene Expression (GO:0010628)	23/480	5.662442e-10	8.611631e-08	0	0	5.499994e+00	1.171058e+02	APP;RPL5;NPM1;GSN;CIRBP;RPS27L;MSN;PARK7;EEF2;ACTG1;SOD1;RPS4X;IFI16;MYC;RPS3;EIF3E;RPL26;VIM;GAS6;RPL17;SLC38A2;GAPDH;HSPA1A
GO_Biological_Process_2023	Ribosome Assembly (GO:0042255)	9/50	1.467690e-09	2.060411e-07	0	0	2.270859e+01	4.618832e+02	RPL5;RPS14;NPM1;RPS27;RPL10;RPS27L;RPSA;RPL23A;NOP53
GO_Biological_Process_2023	Ribosomal Large Subunit Biogenesis (GO:0042273)	9/54	3.009726e-09	3.923393e-07	0	0	2.068586e+01	4.058860e+02	RPL5;NPM1;RPL10;RPL14;RPL35A;RPL23A;RPL26;NOP53;RPL7
GO_Biological_Process_2023	rRNA Processing (GO:0006364)	11/101	5.505401e-09	6.698237e-07	0	0	1.274603e+01	2.423981e+02	RPL5;RPS14;RPS25;RPS16;RPS27;RPS6;RPL14;RPL35A;RPL26;NOP53;RPL7
GO_Biological_Process_2023	Positive Regulation Of Translation (GO:0045727)	11/108	1.124460e-08	1.282587e-06	0	0	1.182201e+01	2.163828e+02	RPS4X;RPL5;NPM1;PKM;CIRBP;RPS27L;EIF3E;RPL26;YBX1;VIM;EEF2
GO_Biological_Process_2023	ncRNA Processing (GO:0034470)	10/100	6.326649e-08	6.791844e-06	0	0	1.152632e+01	1.910592e+02	RPL5;RPS25;RPS16;RPS27;RPS6;RPL14;RPL35A;RPL26;NOP53;RPL7
GO_Biological_Process_2023	Positive Regulation Of Amide Metabolic Process (GO:0034250)	9/85	1.784364e-07	1.809147e-05	0	0	1.222899e+01	1.900267e+02	RPS4X;RPL5;NPM1;CIRBP;RPS27L;EIF3E;RPL26;VIM;EEF2
GO_Biological_Process_2023	Response To Fibroblast Growth Factor (GO:0071774)	5/20	1.305136e-06	1.253617e-04	0	0	3.382051e+01	4.582410e+02	NR4A1;ZFP36;ZFP36L2;CD44;ZFP36L1
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	19/525	1.462466e-06	1.282733e-04	0	0	4.002642e+00	5.377705e+01	ITGB1;APP;HSP90AB1;CAV2;CAV1;PARK7;HMGB1;RHOC;SOD1;LGALS1;EEF1D;RACK1;RPS3;RPS20;S100A4;GAS6;RPL17;PPIA;GAPDH
GO_Biological_Process_2023	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	11/174	1.476022e-06	1.282733e-04	0	0	7.011621e+00	9.413914e+01	RPS4X;RPL5;NPM1;HSP90AB1;CIRBP;RPS27L;EIF3E;PARK7;RPL26;VIM;EEF2
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	18/482	1.801309e-06	1.494267e-04	0	0	4.121448e+00	5.451437e+01	ITGB1;NPM1;ANXA1;RPL10;CAV1;ANXA5;RPS3A;PARK7;SOD1;SOCS3;HNRNPK;MYC;GAS6;PTMA;CD44;TPT1;HSPA1A;MCL1
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	7/60	2.220090e-06	1.748233e-04	0	0	1.351344e+01	1.759175e+02	CST3;SERPINF1;SERPINH1;SERPING1;PARK7;TIMP1;GAPDH
GO_Biological_Process_2023	Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059)	6/39	2.299047e-06	1.748233e-04	0	0	1.852577e+01	2.405204e+02	RPL5;SDCBP;HSP90AB1;PARK7;RPL17;NOP53
GO_Biological_Process_2023	protein-RNA Complex Assembly (GO:0022618)	10/150	2.774494e-06	2.025381e-04	0	0	7.390977e+00	9.456787e+01	RPL5;RPS14;RPS27;HSP90AB1;RPL10;RPS27L;RPSA;RPL23A;EIF3E;NOP53
GO_Biological_Process_2023	Intracellular Monoatomic Cation Homeostasis (GO:0030003)	11/190	3.476288e-06	2.440087e-04	0	0	6.379681e+00	8.018969e+01	APP;MT2A;FTH1;MYC;CAV1;ATP1B3;ATP1A1;B2M;TPT1;FTL;SOD1
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)	9/122	3.845839e-06	2.599503e-04	0	0	8.209378e+00	1.023588e+02	RPS4X;RPL5;NPM1;CIRBP;RPS27L;EIF3E;RPL26;VIM;EEF2
GO_Biological_Process_2023	Negative Regulation Of Endopeptidase Activity (GO:0010951)	7/66	4.255887e-06	2.773926e-04	0	0	1.213551e+01	1.500823e+02	CST3;IFI16;SERPINF1;SERPINH1;SERPING1;TIMP1;GAPDH
GO_Biological_Process_2023	Positive Regulation Of Protein Metabolic Process (GO:0051247)	11/196	4.688680e-06	2.902848e-04	0	0	6.170885e+00	7.571898e+01	RPS4X;APP;RPL5;NPM1;CIRBP;RPS27L;MSN;EIF3E;RPL26;VIM;EEF2
GO_Biological_Process_2023	Response To Unfolded Protein (GO:0006986)	6/44	4.771806e-06	2.902848e-04	0	0	1.608410e+01	1.970751e+02	HSPA8;HSP90AB1;SERPINH1;HSPE1;HERPUD1;HSPA1A
GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	6/46	6.227506e-06	3.371014e-04	0	0	1.527835e+01	1.831345e+02	GNAS;CLIC1;MYL9;PPIA;CD99;ACTG1
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484)	4/13	6.464959e-06	3.371014e-04	0	0	4.487755e+01	5.362470e+02	HLA-B;HLA-C;HLA-A;HLA-E
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)	4/13	6.464959e-06	3.371014e-04	0	0	4.487755e+01	5.362470e+02	HLA-B;HLA-C;HLA-A;HLA-E
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476)	4/13	6.464959e-06	3.371014e-04	0	0	4.487755e+01	5.362470e+02	HLA-B;HLA-C;HLA-A;HLA-E
