Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LINCS_L1000_Chem_Pert_down	LJP005 HS578T 24H-LDN-193189-10	19/141	2.291769e-16	4.529223e-12	0	0	1.693153e+01	6.097388e+02	SPARC;HSP90AB1;ST13;TUBB;YBX1;RHOC;ACTB;EEF1D;COL6A2;PSAP;COL6A1;GNAS;PMP22;TAGLN2;IGFBP7;RAC1;PTMA;CD99;SLC25A6
LINCS_L1000_Chem_Pert_down	LJP008 PC3 24H-I-BET151-3.33	18/187	5.538236e-13	5.472608e-09	0	0	1.148833e+01	3.242228e+02	SPARC;ANXA1;C1R;SERPINF1;NUCKS1;CXCL14;ZFP36L1;PDLIM1;CLEC2B;IFI16;COL6A2;COL6A1;MGP;S100A6;S100A4;TAGLN2;IGFBP7;GLUL
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 24H-QL-X-138-10	14/133	6.829614e-11	4.499122e-07	0	0	1.244845e+01	2.913830e+02	IFITM3;HSPA8;NPM1;SPARC;OAT;TUBB;AMD1;HSPE1;CALD1;IGFBP7;VIM;CD44;S100A10;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP006 HME1 24H-CHIR-99021-10	14/140	1.366631e-10	5.822374e-07	0	0	1.175269e+01	2.669447e+02	SPARC;BTG1;CAV2;CAV1;TSC22D3;HERPUD1;SH3BGRL;IFI16;MYC;TXNIP;IGFBP7;CD59;GAS6;SLC38A2
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 3H-radicicol-3.33	12/93	1.473049e-10	5.822374e-07	0	0	1.553901e+01	3.517801e+02	ZFP36;MT2A;CEBPD;IFI16;DUSP1;CALD1;MYC;TXNIP;IGFBP7;ZFP36L2;ZFP36L1;MCL1
LINCS_L1000_Chem_Pert_down	LJP006 HS578T 24H-PHA-793887-1.11	14/145	2.190059e-10	7.094306e-07	0	0	1.130124e+01	2.513613e+02	HSPA8;ANXA2;TUBB;CIRBP;HMGB2;NUCKS1;HMGB1;KLF6;MGP;HMGN2;HNRNPA1;MCL1;SLC25A6;HNRNPA0
LINCS_L1000_Chem_Pert_down	LJP006 HS578T 3H-BMS-387032-0.12	12/98	2.750002e-10	7.094306e-07	0	0	1.463187e+01	3.221095e+02	ZFP36;KLF6;ANXA1;CEBPD;DUSP1;MYC;SLC38A2;ZFP36L2;ZFP36L1;MCL1;HERPUD1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP006 A375 24H-QL-X-138-10	15/176	2.871753e-10	7.094306e-07	0	0	9.890381e+00	2.173009e+02	IFITM3;IFITM2;SPARC;ANXA1;CAV2;CAV1;TUBB;EID1;SH3BGRL;IFI16;MGP;S100A4;IGFBP7;CD59;CALM1
LINCS_L1000_Chem_Pert_down	LJP005 SKBR3 3H-NVP-AUY922-10	10/61	4.619539e-10	1.014399e-06	0	0	2.038080e+01	4.380967e+02	IFITM3;GSN;GNAS;TAGLN2;IGFBP7;CALM1;CXCL14;ACTB;ZFP36L2;ZFP36L1
LINCS_L1000_Chem_Pert_down	LJP008 PC3 24H-PFI-1-10	13/128	5.230344e-10	1.033673e-06	0	0	1.189979e+01	2.543149e+02	IFITM3;ANXA1;C1R;TUBB;CXCL14;ZFP36L1;PDLIM1;CLEC2B;IFI16;COL6A2;S100A6;S100A4;CD99
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 3H-NVP-AUY922-1.11	9/47	8.191486e-10	1.398641e-06	0	0	2.450510e+01	5.127142e+02	KLF6;CEBPD;IFI16;DUSP1;MYC;IGFBP7;ZFP36L2;ZFP36L1;SLC25A6
LINCS_L1000_Chem_Pert_down	LJP006 HS578T 3H-JNK-9L-10	11/85	8.492480e-10	1.398641e-06	0	0	1.551451e+01	3.240465e+02	ZFP36;KLF6;BTG1;CEBPD;DUSP1;MYC;CD44;HERPUD1;ZFP36L1;MCL1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP006 HME1 3H-CGP-60474-3.33	13/141	1.743553e-09	2.650603e-06	0	0	1.068416e+01	2.154711e+02	HSPA8;BTG1;CEBPD;DUSP1;CXCL14;ZFP36L2;HERPUD1;ZFP36;KLF6;LGALS1;MYC;MCL1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP005 MCF10A 3H-WZ-3105-10	11/93	2.263654e-09	3.195472e-06	0	0	1.399523e+01	2.785929e+02	ZFP36;DST;CEBPD;DUSP1;MYC;GNAS;SLC38A2;ZFP36L2;ZFP36L1;MCL1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP009 PC3 24H-PF-3758309-0.04	12/122	3.565331e-09	4.697443e-06	0	0	1.142553e+01	2.222495e+02	PDLIM1;NPM1;SPARC;CLEC2B;RPL36AL;EEF1D;TUBB;RPS6;HMGB2;NUCKS1;HMGB1;GLUL
LINCS_L1000_Chem_Pert_down	LJP008 PC3 24H-belinostat-10	13/151	4.048469e-09	5.000618e-06	0	0	9.904906e+00	1.914116e+02	SPARC;ANXA1;HMGB2;ZFP36L2;ZFP36L1;PDLIM1;SH3BGRL;IFI16;COL6A2;COL6A1;PMP22;IGFBP7;CD99
LINCS_L1000_Chem_Pert_down	LJP008 PC3 24H-azacitidine-10	13/154	5.147796e-09	5.984465e-06	0	0	9.692684e+00	1.849819e+02	HSPA8;SPARC;CAV2;SERPINF1;CAV1;TUBB;COL6A2;COL6A1;HNRNPA2B1;S100A4;IGFBP7;CD99;S100A10
LINCS_L1000_Chem_Pert_down	LJP006 MCF10A 3H-A443654-10	11/101	5.505401e-09	6.044624e-06	0	0	1.274603e+01	2.423981e+02	HSPA8;BTG1;DST;DUSP1;MYC;FTH1;CXCL14;ZFP36L2;ZFP36L1;MCL1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP007 HA1E 24H-vorinostat-10	13/158	7.032808e-09	7.315231e-06	0	0	9.423382e+00	1.769021e+02	IFITM3;SPARC;ANXA1;HMGB2;HMGB1;EMP3;CXCL14;ZFP36L1;IFI16;COL6A2;COL6A1;SERPINH1;CD44
LINCS_L1000_Chem_Pert_down	LJP009 PC3 24H-dabrafenib-10	9/60	7.945171e-09	7.851021e-06	0	0	1.824669e+01	3.403136e+02	SPARC;ANXA1;CLEC2B;CALD1;CAV2;CAV1;HLA-B;VIM;CD44
LINCS_L1000_Chem_Pert_down	LJP006 A375 24H-mitoxantrone-10	12/134	1.042435e-08	9.810302e-06	0	0	1.029543e+01	1.892210e+02	HSPA8;LGALS1;OAT;CLEC2B;SSR2;MGP;GNAS;CXCL14;SLC38A2;ZFP36L2;MCL1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP009 HEPG2 24H-dabrafenib-1.11	8/44	1.131399e-08	1.016357e-05	0	0	2.287500e+01	4.185490e+02	HSPA8;EID1;SPARC;LGALS1;GNAS;IGFBP7;S100A4;VIM
LINCS_L1000_Chem_Pert_down	LJP006 HME1 3H-radicicol-10	10/85	1.302190e-08	1.038092e-05	0	0	1.384211e+01	2.513260e+02	APP;LGALS1;CALD1;MYC;SERPINF1;MGST3;CAV1;MGP;ARL6IP5;IGFBP7
LINCS_L1000_Chem_Pert_down	LJP009 HEPG2 24H-chelerythrine chloride-10	12/137	1.339861e-08	1.038092e-05	0	0	1.004681e+01	1.821297e+02	RPS9;SPARC;HSP90AB1;EEF1D;PRDX1;GNAS;STOM;CD59;PFN1;PTMA;FTL;SLC25A6
LINCS_L1000_Chem_Pert_down	LJP006 HS578T 3H-JNK-9L-3.33	12/137	1.339861e-08	1.038092e-05	0	0	1.004681e+01	1.821297e+02	ZFP36;KLF6;BTG1;DUSP1;MYC;AMD1;CXCL14;ZFP36L2;S100A10;MCL1;HERPUD1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP008 HCC515 24H-I-BET151-3.33	11/110	1.365704e-08	1.038092e-05	0	0	1.158201e+01	2.097388e+02	SPARC;IFI16;FCGRT;C1R;MYC;COL6A2;SERPING1;HMGB1;CXCL14;GLUL;ZFP36L1
LINCS_L1000_Chem_Pert_down	LJP009 MCF7 24H-PF-3758309-0.37	11/112	1.652080e-08	1.209261e-05	0	0	1.135151e+01	2.034037e+02	PDLIM1;SPARC;CLEC2B;CAV1;TUBB;COL6A2;S100A6;HMGB2;EMP3;HMGN2;ZFP36L1
