Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ribosome,42/158,1.5829706158398258e-48,3.3084085871052358e-46,0,0,45.107376691401136,4964.73354808897,RPL5;RPL30;RPL3;RPL32;RPL10;RPL34;RPL12;RPS27L;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL36AL;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPS13;RPL19;RPS9;RPL41;RPL21;RPS6;RPL13A;RPL35A;RPSA;RPS3A;RPL23A;RPS25;RPS27;RPL24;RPS20;RPL26;RPL29;RPS23
KEGG_2021_Human,Coronavirus disease,43/232,2.485664589624109e-42,2.597519496157194e-40,0,0,28.418865635426144,2722.471451878588,RPL5;RPL30;RPL3;RPL10;RPL32;C1R;RPL12;RPL34;RPS27L;RPL8;RPL10A;RPL9;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL36AL;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL17;RPS13;RPL19;RPL41;RPS9;RPL21;RPS6;RPL13A;RPL35A;RPSA;RPS3A;RPL23A;RPS25;RPS27;RPL24;RPS20;RPL26;RPL29;RPS23
KEGG_2021_Human,Fluid shear stress and atherosclerosis,12/139,1.5783967905254376e-08,1.0996164307327215e-06,0,0,9.887585860278104,177.6232729343856,HSP90AB1;CAV2;DUSP1;MGST3;CAV1;SUMO2;RAC1;CALM1;SQSTM1;CALM2;ACTB;ACTG1
KEGG_2021_Human,Viral myocarditis,8/60,1.424605297083594e-07,7.443562677261778e-06,0,0,15.823717948717947,249.44826809728173,CAV1;HLA-B;HLA-C;RAC1;HLA-A;ACTB;ACTG1;HLA-E
KEGG_2021_Human,Phagosome,11/152,3.849914988483662e-07,1.6092644651861705e-05,0,0,8.114713497692222,119.85468014580556,ITGB1;TUBA1B;C1R;TUBB;HLA-B;HLA-C;HLA-A;RAC1;ACTB;ACTG1;HLA-E
KEGG_2021_Human,Cellular senescence,11/156,4.996776506059256e-07,1.7405438162773076e-05,0,0,7.88925378580551,114.46757082319974,MYC;HLA-B;HLA-C;HLA-A;CALM1;SQSTM1;CALM2;ZFP36L2;HLA-E;ZFP36L1;SLC25A6
KEGG_2021_Human,Proteoglycans in cancer,12/205,1.1047336162674112e-06,2.924813737509479e-05,0,0,6.484511079263587,88.94094651563296,ITGB1;CD63;DDX5;CAV2;MYC;CAV1;RPS6;MSN;RAC1;ACTB;CD44;ACTG1
KEGG_2021_Human,Antigen processing and presentation,8/78,1.1195459282332934e-06,2.924813737509479e-05,0,0,11.74404761904762,160.9238386488789,HSPA8;HSP90AB1;HLA-B;HLA-C;HLA-A;B2M;HLA-E;HSPA1A
KEGG_2021_Human,Salmonella infection,13/249,1.420795862864985e-06,3.299403725986465e-05,0,0,5.7629837759448925,77.59450428360631,HSP90AB1;ANXA2;TUBB;ACTB;ACTG1;TUBA1B;MYC;RPS3;RAC1;PFN1;MYL9;GAPDH;S100A10
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,11/193,4.042885798020904e-06,8.449631317863689e-05,0,0,6.273562416419559,77.90855993009357,ZFP36;CLEC2B;MYC;HLA-B;HLA-C;HLA-A;RAC1;CALM1;RPS27A;CALM2;HLA-E
KEGG_2021_Human,Gastric acid secretion,7/76,1.0981296088327086e-05,0.00020864462567821463,0,0,10.37148006307727,118.43521951233538,GNAS;ATP1B3;ATP1A1;CALM1;CALM2;ACTB;ACTG1
KEGG_2021_Human,Necroptosis,9/159,3.2629340116090215e-05,0.0005682943403552379,0,0,6.172774869109948,63.76660802545815,H2AZ1;HSP90AB1;FTH1;HMGB1;GLUL;PPIA;SQSTM1;FTL;SLC25A6
KEGG_2021_Human,Human cytomegalovirus infection,10/225,9.29652303479594e-05,0.0014945948571325,0,0,4.794369645042839,44.50749981959715,MYC;HLA-B;GNAS;HLA-C;HLA-A;RAC1;CALM1;CALM2;B2M;HLA-E
KEGG_2021_Human,Pertussis,6/76,0.00011335566980135825,0.0016922382134631,0,0,8.71723122238586,79.19587272258161,ITGB1;C1R;IRF1;SERPING1;CALM1;CALM2
KEGG_2021_Human,Bacterial invasion of epithelial cells,6/77,0.00012192284108863171,0.0016987915858349,0,0,8.59401771453463,77.4503375178538,ITGB1;CAV2;CAV1;RAC1;ACTB;ACTG1
KEGG_2021_Human,Leukocyte transendothelial migration,7/114,0.00015016516549446412,0.0019615324742714,0,0,6.67526996271367,58.767573256253904,ITGB1;MSN;RAC1;MYL9;ACTB;CD99;ACTG1
KEGG_2021_Human,Oxytocin signaling pathway,8/154,0.0001631524518295871,0.002005815437199,0,0,5.609018264840183,48.91526955306804,MYL6;GNAS;EEF2;CALM1;MYL9;CALM2;ACTB;ACTG1
KEGG_2021_Human,Shigellosis,10/246,0.00019276798750342595,0.0021388328780316,0,0,4.36306868867083,37.32179091476809,ITGB1;RAC1;PFN1;RPS27A;MYL9;SQSTM1;ACTB;CD44;H3-3B;ACTG1
KEGG_2021_Human,Focal adhesion,9/201,0.0001972315537427586,0.0021388328780316,0,0,4.81217277486911,41.05328172551214,ITGB1;CAV2;COL6A2;CAV1;COL6A1;RAC1;MYL9;ACTB;ACTG1
KEGG_2021_Human,Epstein-Barr virus infection,9/202,0.00020467300268245907,0.0021388328780316,0,0,4.7869950899275695,40.66120044678885,MYC;HLA-B;HLA-C;VIM;HLA-A;RAC1;B2M;CD44;HLA-E
KEGG_2021_Human,Tight junction,8/169,0.0003073021763181449,0.0030583883262139,0,0,5.082556935817806,41.10608903062507,ITGB1;MYL6;TUBA1B;MSN;RAC1;MYL9;ACTB;ACTG1
KEGG_2021_Human,Mineral absorption,5/60,0.0003324843108549847,0.0031210864292359,0,0,9.205128205128204,73.72311591006364,MT2A;FTH1;ATP1B3;ATP1A1;FTL
KEGG_2021_Human,Salivary secretion,6/93,0.0003434688414948694,0.0031210864292359,0,0,7.007820831852115,55.89728130909484,CST3;GNAS;ATP1B3;ATP1A1;CALM1;CALM2
KEGG_2021_Human,Regulation of actin cytoskeleton,9/218,0.00035935557025142025,0.0031293880909394,0,0,4.416919261504547,35.031462154965595,ITGB1;GSN;TMSB4X;MSN;RAC1;PFN1;MYL9;ACTB;ACTG1
KEGG_2021_Human,Aldosterone synthesis and secretion,6/98,0.0004551605159281598,0.0038051419131594,0,0,6.625280143433438,50.98060594027172,NR4A1;GNAS;ATP1B3;ATP1A1;CALM1;CALM2
