Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Immune System R-HSA-168256,65/1943,3.9048613506187115e-19,2.1750077722946222e-16,0,0,4.5948408472370135,194.7610341893916,NCF1;WIPF1;GMFG;NCF4;ICAM2;ICAM3;CTSS;SEC61A1;RAC2;B2M;HLA-DOB;HLA-DPA1;CD53;MEF2C;PRKCB;RNASET2;HLA-B;RNASE6;HLA-C;CYBA;RHOF;DDOST;HLA-E;TAPBP;PLPP5;NPC2;IRF4;IRF7;IRF8;LTB;BIRC3;HVCN1;PLD4;IL2RG;UBE2J1;HSP90B1;RASGRP3;CD79B;PLAC8;CD79A;HLA-DMA;PRDX4;HLA-DMB;INPP5D;SLAMF7;TNFRSF17;HLA-DQA1;CD55;MCL1;LYN;CD74;ADA2;SVIP;BST2;ISG20;PTPRC;SELL;REL;CD27;HLA-DRA;GRB2;YPEL5;FCGR2B;HLA-DRB1;ITM2C
Reactome_2022,Adaptive Immune System R-HSA-1280218,33/733,3.761818638486175e-13,1.0476664908183996e-10,0,0,5.391787852865697,154.25206103123574,NCF1;NCF4;ICAM2;ICAM3;CTSS;UBE2J1;RASGRP3;CD79B;CD79A;SEC61A1;HLA-DMA;HLA-DMB;INPP5D;SLAMF7;B2M;HLA-DOB;HLA-DQA1;HLA-DPA1;LYN;CD74;PRKCB;HLA-B;HLA-C;CYBA;HLA-E;TAPBP;PTPRC;SELL;REL;HLA-DRA;GRB2;FCGR2B;HLA-DRB1
Reactome_2022,Innate Immune System R-HSA-168249,38/1035,2.636004485206562e-12,4.89418166086685e-10,0,0,4.4238518023205415,117.94766086284584,NCF1;WIPF1;GMFG;HVCN1;NCF4;ICAM2;ICAM3;PLD4;CTSS;HSP90B1;PLAC8;PRDX4;RAC2;B2M;CD55;LYN;CD53;MEF2C;RNASET2;HLA-B;RNASE6;HLA-C;CYBA;ADA2;RHOF;SVIP;DDOST;HLA-E;BST2;PLPP5;PTPRC;SELL;NPC2;IRF7;GRB2;YPEL5;ITM2C;BIRC3
Reactome_2022,Interferon Gamma Signaling R-HSA-877300,11/89,1.4040014678784236e-09,1.9550720440207053e-07,0,0,14.715913715913716,299.96829466411464,IRF4;HLA-B;IRF7;HLA-C;IRF8;HLA-DRA;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-E
Reactome_2022,Neutrophil Degranulation R-HSA-6798695,22/468,1.960472304492234e-09,2.1839661472043495e-07,0,0,5.363379855897617,107.5361974394044,CD53;GMFG;HVCN1;RNASET2;HLA-B;HLA-C;CYBA;ADA2;RHOF;SVIP;CTSS;DDOST;PLAC8;BST2;PRDX4;PTPRC;SELL;NPC2;YPEL5;B2M;CD55;ITM2C
Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,11/108,1.1244602673803948e-08,1.043873948218133e-06,0,0,11.822014945726286,216.38280337597595,SEC61A1;SPCS3;TRAM1;SPCS2;SPCS1;RPN2;SSR4;SSR2;SSR3;DDOST;SEC11C
Reactome_2022,Endosomal/Vacuolar Pathway R-HSA-1236977,5/11,4.1847168846753544e-08,3.32983900680596e-06,0,0,84.58974358974359,1437.1155985372875,HLA-B;HLA-C;B2M;CTSS;HLA-E
Reactome_2022,Antigen processing-Cross Presentation R-HSA-1236975,10/104,9.215026987265393e-08,6.41596253988353e-06,0,0,11.033594624860022,178.74252518942302,SEC61A1;NCF1;NCF4;HLA-B;HLA-C;CYBA;B2M;CTSS;HLA-E;TAPBP
Reactome_2022,Interferon Signaling R-HSA-913531,13/200,1.1646241483657273e-07,7.207729451552333e-06,0,0,7.291286568103177,116.41047380303488,HLA-B;HLA-C;HLA-E;BST2;ISG20;IRF4;IRF7;HLA-DRA;IRF8;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,24/702,1.584317433004909e-07,8.824648101837345e-06,0,0,3.845937248592116,60.21946228955776,LYN;MEF2C;HLA-B;HLA-C;IL2RG;HLA-E;HSP90B1;BST2;ISG20;IRF4;INPP5D;IRF7;CD27;HLA-DRA;IRF8;TNFRSF17;GRB2;LTB;B2M;HLA-DRB1;HLA-DQA1;HLA-DPA1;BIRC3;MCL1
