Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Integrin-Mediated Signaling Pathway (GO:0007229)	9/85	1.784364e-07	2.699743e-04	0	0	1.222899e+01	1.900267e+02	ITGB1;COL3A1;ADAMTS1;ITGA7;MYH9;ISG15;THY1;PLPP3;PTK2
GO_Biological_Process_2023	Response To Interferon-Beta (GO:0035456)	6/29	3.637619e-07	2.751859e-04	0	0	2.659390e+01	3.943016e+02	IFITM3;BST2;IFITM1;IFITM2;IFI16;IRF1
GO_Biological_Process_2023	Negative Regulation Of Viral Process (GO:0048525)	7/61	2.486809e-06	1.254181e-03	0	0	1.326252e+01	1.711463e+02	IFITM3;BST2;IFITM1;ZFP36;IFITM2;IFI16;ISG15
GO_Biological_Process_2023	Supramolecular Fiber Organization (GO:0097435)	14/316	3.831311e-06	1.287831e-03	0	0	4.859574e+00	6.061008e+01	COL18A1;TPM4;TPM2;TPM1;LMOD1;CNN3;CST3;COL3A1;MYO1B;COL1A2;VIM;CD36;MYL9;B2M
GO_Biological_Process_2023	Negative Regulation Of Endopeptidase Activity (GO:0010951)	7/66	4.255887e-06	1.287831e-03	0	0	1.213551e+01	1.500823e+02	CST3;IFI16;SERPINF1;TIMP3;SERPING1;TIMP1;SERPINI1
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	10/176	1.148093e-05	2.503856e-03	0	0	6.225111e+00	7.080954e+01	ADAMTS4;COL18A1;SMOC2;COL3A1;COL1A2;COL4A2;COL4A1;ADAMTS1;TGFBI;GPM6B
GO_Biological_Process_2023	Extracellular Structure Organization (GO:0043062)	8/109	1.392889e-05	2.503856e-03	0	0	8.126650e+00	9.086851e+01	ADAMTS4;SMOC2;COL3A1;COL1A2;COL4A2;COL4A1;ADAMTS1;TGFBI
GO_Biological_Process_2023	Negative Regulation Of Viral Genome Replication (GO:0045071)	6/53	1.440164e-05	2.503856e-03	0	0	1.299825e+01	1.449066e+02	IFITM3;BST2;IFITM1;IFITM2;IFI16;ISG15
GO_Biological_Process_2023	External Encapsulating Structure Organization (GO:0045229)	8/110	1.489405e-05	2.503856e-03	0	0	8.046569e+00	8.943398e+01	ADAMTS4;SMOC2;COL3A1;COL1A2;COL4A2;COL4A1;ADAMTS1;TGFBI
GO_Biological_Process_2023	Defense Response To Symbiont (GO:0140546)	9/148	1.848167e-05	2.796277e-03	0	0	6.664997e+00	7.264001e+01	IFITM3;BST2;IFITM1;IL6;IFITM2;IFI16;IRF1;DDIT4;ISG15
GO_Biological_Process_2023	Response To Interferon-Alpha (GO:0035455)	4/17	2.085490e-05	2.868497e-03	0	0	3.106279e+01	3.347924e+02	IFITM3;BST2;IFITM1;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	14/379	2.960823e-05	3.449041e-03	0	0	4.007807e+00	4.179124e+01	KANK2;COL18A1;IFITM1;IGFBP5;TGFB1I1;RERG;IL6;FRZB;ADAMTS1;FTH1;IRF1;HES1;IGFBP7;B2M
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	6/60	2.963485e-05	3.449041e-03	0	0	1.130928e+01	1.179169e+02	CST3;SERPINF1;TIMP3;SERPING1;TIMP1;SERPINI1
GO_Biological_Process_2023	Response To Cytokine (GO:0034097)	8/125	3.763647e-05	3.921317e-03	0	0	7.009615e+00	7.141072e+01	IFITM3;BST2;IFITM1;COL3A1;IFITM2;TIMP3;ISG15;TIMP1
GO_Biological_Process_2023	Negative Regulation Of Viral Life Cycle (GO:1903901)	4/20	4.146799e-05	3.921317e-03	0	0	2.523469e+01	2.546329e+02	IFITM3;BST2;IFITM1;IFITM2
GO_Biological_Process_2023	Response To Fibroblast Growth Factor (GO:0071774)	4/20	4.146799e-05	3.921317e-03	0	0	2.523469e+01	2.546329e+02	NR4A1;ZFP36;CD44;ZFP36L1
GO_Biological_Process_2023	Positive Regulation Of Wound Healing (GO:0090303)	5/40	4.708954e-05	4.190969e-03	0	0	1.447985e+01	1.442694e+02	ITGB1;SMOC2;ADRA2A;PTK2;MYLK
GO_Biological_Process_2023	Regulation Of Viral Genome Replication (GO:0045069)	6/67	5.574513e-05	4.685688e-03	0	0	1.000794e+01	9.802501e+01	IFITM3;BST2;IFITM1;IFITM2;IFI16;ISG15
GO_Biological_Process_2023	Positive Regulation Of Chemotaxis (GO:0050921)	5/44	7.524121e-05	5.991577e-03	0	0	1.299211e+01	1.233576e+02	PDGFRB;SMOC2;IL6;TMSB4X;RARRES2
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	20/766	8.939010e-05	6.762361e-03	0	0	2.837951e+00	2.645680e+01	PDGFRB;KANK2;COL18A1;IFITM1;TGFB1I1;AVPR1A;PTK2;ADRA2A;RERG;ZFP36L1;FGF7;IL6;FRZB;ADAMTS1;FTH1;IRF1;HES1;IGFBP7;TIMP1;JUNB
GO_Biological_Process_2023	Regulation Of Wound Healing (GO:0061041)	5/47	1.037255e-04	6.925161e-03	0	0	1.206227e+01	1.106564e+02	ITGB1;CAV1;ADRA2A;PTK2;MYLK
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	16/537	1.050118e-04	6.925161e-03	0	0	3.217725e+00	2.947899e+01	KANK2;COL18A1;IFITM1;TGFB1I1;HOPX;RERG;BST2;NR4A1;IL6;FRZB;ADAMTS1;FTH1;IRF1;MYH9;IGFBP7;TGFBI
