Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-geldanamycin-1.11,26/157,2.1083371989796003e-24,4.6315951587183863e-20,0,0,22.435465473370183,1223.0950362193605,CLTB;CXCL14;ZFP36L1;LGALS3;CCND1;MYC;CCL2;SFN;HES1;CD59;IER3;KLF10;EGR1;JUN;S100A2;TPM1;EMP1;KRT10;KLF4;TM4SF1;COL1A1;NFKBIA;MARCKS;MAP1B;ID1;TAX1BP3
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-NVP-AUY922-10,24/169,5.9839254513441736e-21,6.572743715756441e-17,0,0,18.484326018808776,860.7265259217628,KLF10;DSP;EGR1;JUN;SPARC;S100A2;PLK2;TPM1;TACSTD2;MT1X;KRT10;KLF4;CXCL14;TM4SF1;COL1A1;NFKBIA;MARCKS;MYC;MAP1B;COL6A2;ID1;CCL2;HES1;IER3
LINCS_L1000_Chem_Pert_down,LJP006 HA1E 24H-radicicol-3.33,23/160,3.0635723092201385e-20,2.243351882964933e-16,0,0,18.650212379891958,837.9935844742812,KLF10;EGR1;JUN;S100A2;ACTN1;PLK2;TPM1;EMP1;KLF4;CXCL14;TM4SF1;NFKBIA;LGALS3;MARCKS;MAFB;CALD1;MYC;ID3;CCL2;TAX1BP3;HES1;CD59;IER3
LINCS_L1000_Chem_Pert_down,LJP005 HS578T 3H-CGP-60474-3.33,23/173,1.8835806815205656e-19,1.0344625102910946e-15,0,0,17.0225988700565,733.9453886976678,KLF10;JUN;CEBPB;DST;TACSTD2;KLF4;CXCL14;RND3;ETS2;TM4SF1;ZFP36L1;RHOB;EFNA1;NFKBIA;MARCKS;MAFB;MYC;ID1;KRT14;ID3;HES1;ATF3;IER3
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-NVP-AUY922-0.12,21/137,3.6262573605465433e-19,1.5932324339297293e-15,0,0,19.907724908495474,845.3002287329988,KLF10;DSP;S100A2;PLK2;EMP1;KRT10;KLF4;CXCL14;TM4SF1;CNN3;NFKBIA;MARCKS;MYC;MAP1B;KRT14;CCL2;SFN;TAX1BP3;HES1;ATF3;IER3
LINCS_L1000_Chem_Pert_down,LJP006 HME1 3H-CGP-60474-3.33,21/141,6.728873345885738e-19,2.463664827706965e-15,0,0,19.24022346368715,805.0630723516136,DSP;CEBPB;CEBPD;TACSTD2;EMP1;KRT5;KLF4;CXCL14;TM4SF1;RHOB;NFKBIA;LGALS3;MARCKS;MAFB;MYC;KRT14;SFN;HES1;ATF3;IER3;HSPA1A
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-geldanamycin-3.33,21/148,1.8944600662069053e-18,5.945356962061899e-15,0,0,18.17327233537149,741.6075881979102,KLF10;DSP;EGR1;JUN;S100A2;EMP1;KLF4;CXCL14;TM4SF1;COL1A1;NFKBIA;MARCKS;MYC;MAP1B;COL6A2;ID1;CCL2;SFN;TAX1BP3;HES1;IER3
LINCS_L1000_Chem_Pert_down,LJP006 MCF10A 3H-PD-0325901-0.04,16/67,3.9130955736976024e-18,9.989371271005465e-15,0,0,33.672634271099746,1349.6733592439202,CYB5A;EGR1;S100A2;CAV2;GNG11;TM4SF1;ZFP36L1;CCND1;MYC;KRT14;ID1;MGP;SPARCL1;HES1;CD59;IER3
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-afatinib-10,21/154,4.4045771759253975e-18,9.989371271005465e-15,0,0,17.34813290208762,693.2988300105682,IFITM3;GSTM3;SPARC;CAV2;CAV1;GSTP1;TPM1;TACSTD2;NDUFC2;MT1X;CXCL14;TM4SF1;CNN3;MARCKS;COL1A2;CALD1;PLS3;TIMP3;TCF4;CD59;MT1E
LINCS_L1000_Chem_Pert_down,LJP006 MDAMB231 3H-BMS-345541-10,20/134,4.547237468593164e-18,9.989371271005465e-15,0,0,19.18713450292398,766.1808809007996,KLF10;JUN;CEBPB;PLK2;TACSTD2;MT1X;KRT5;KLF4;CXCL14;ETS2;SERPINB5;RHOB;NFKBIA;MAFB;MYC;ID1;KRT14;HES1;ATF3;IER3
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 3H-JNK-9L-3.33,20/137,7.140758331741026e-18,1.426074354833517e-14,0,0,18.692307692307693,737.9856295925899,KLF10;JUN;CEBPB;PLK2;TACSTD2;EMP1;KRT5;KLF4;CXCL14;ETS2;SERPINB5;NFKBIA;MAFB;MYC;ID1;KRT14;ID3;HES1;IER3;HSPA1A
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-geldanamycin-0.37,20/141,1.2810955704138838e-17,2.261824569971917e-14,0,0,18.07070707070707,702.8823957363605,CFD;KLF10;DSP;EGR1;JUN;SPARC;S100A2;MT1X;KLF4;CXCL14;TM4SF1;COL1A1;MAFB;MAP1B;COL6A2;KRT14;CCL2;TAX1BP3;HES1;IER3
LINCS_L1000_Chem_Pert_down,LJP006 MCF10A 3H-alvocidib-1.11,19/122,1.4016241945134008e-17,2.261824569971917e-14,0,0,20.07418333959127,779.0050795904754,EGR1;CEBPB;S100A2;PLK2;TACSTD2;MT1X;KLF4;CXCL14;RND3;DCN;ZFP36L1;NFKBIA;IFI27;MYC;KRT14;HES1;APOE;ATF3;IER3
LINCS_L1000_Chem_Pert_down,LJP006 A375 24H-KIN001-043-3.33,18/104,1.4414395475057738e-17,2.261824569971917e-14,0,0,22.671351903910043,879.1565825890949,SPARC;DST;CAV2;CAV1;TPM1;MT1X;KRT5;DCN;COL1A1;MARCKS;COL1A2;FXYD3;COL6A2;SPARCL1;SFN;IGFBP7;TCF4;MT1E
LINCS_L1000_Chem_Pert_down,LJP008 PC3 24H-I-BET151-3.33,22/187,1.7403438407168018e-17,2.5487915661911142e-14,0,0,14.707865168539326,567.5745147838386,SPARC;S100A2;C1S;C1R;SERPINF1;TACSTD2;HSPB1;NUCKS1;KRT5;CXCL14;TM4SF1;ZFP36L1;COL1A1;PDLIM1;COL1A2;COL6A2;COL6A1;MGP;KRT14;SPARCL1;ID3;IGFBP7
LINCS_L1000_Chem_Pert_down,LJP006 HME1 3H-CGP-60474-1.11,21/165,1.8844795824054176e-17,2.5873904666426385e-14,0,0,16.01396648044693,616.7025713880142,KLF10;JUN;CEBPB;DST;CEBPD;PLK2;KRT5;KLF4;CXCL14;RND3;ETS2;RHOB;NFKBIA;MARCKS;MAFB;IFI27;MYC;KRT14;HES1;ATF3;IER3
LINCS_L1000_Chem_Pert_down,LJP005 HEPG2 24H-pelitinib-10,18/113,6.773639061975765e-17,8.753135465499035e-14,0,0,20.51417004048583,763.7611797460908,C1S;SERPINF1;EMP1;ETS2;TM4SF1;DCN;COL1A1;EFNA1;GJA1;MARCKS;COL1A2;CALD1;COL6A2;MGP;SPARCL1;TIMP3;TCF4;IER3
LINCS_L1000_Chem_Pert_down,LJP005 HA1E 24H-NVP-AUY922-0.04,18/115,9.372235906909074e-17,1.1438293244609917e-13,0,0,20.089158264416,741.4143900647422,KLF10;DSP;EGR1;S100A2;TPM1;EMP1;TM4SF1;CNN3;NFKBIA;MARCKS;IFI27;MYC;MAP1B;ID1;CCL2;SFN;TAX1BP3;IER3
LINCS_L1000_Chem_Pert_down,LJP006 HS578T 24H-QL-XII-47-10,21/184,1.8198997440638792e-16,2.1041872409260682e-13,0,0,14.133632655859069,512.23931326665,IFITM3;GSTM3;CYB5A;RNH1;SPARC;CAV2;CAV1;GSTP1;TPM1;PEBP1;DSTN;EMP2;TM4SF1;GJA1;COL1A2;CALD1;IGFBP7;TCF4;CKB;HMGN3;NBL1
LINCS_L1000_Chem_Pert_down,LJP006 MCF10A 3H-A443654-10,17/101,1.9257679605076046e-16,2.1152635278215532e-13,0,0,21.80405932864949,789.0024901858205,CEBPB;DST;C1S;PLK2;KLF4;CXCL14;RND3;DCN;ZFP36L1;RHOB;NFKBIA;MYC;ID1;CD9;SFN;IER3;HSPA1A
LINCS_L1000_Chem_Pert_down,LJP006 HME1 3H-BMS-387032-0.37,18/123,3.229580530769894e-16,3.3784488142834784e-13,0,0,18.551020408163264,661.6965180856345,KLF10;JUN;CEBPB;DST;CEBPD;TACSTD2;EMP1;RND3;ETS2;ZFP36L1;RHOB;NFKBIA;MARCKS;MYC;KRT14;HES1;ATF3;IER3
LINCS_L1000_Chem_Pert_down,LJP006 SKBR3 3H-CGP-60474-1.11,16/87,3.465552608343536e-16,3.460511804549582e-13,0,0,24.16289038579302,860.1623969108155,CEBPB;S100A2;PLK2;CXCL14;GNG11;ETS2;TM4SF1;NFKBIA;EFNA1;MARCKS;MYC;KRT14;ID1;ID3;HES1;IER3
LINCS_L1000_Chem_Pert_down,LJP005 SKBR3 3H-TG-101348-3.33,17/105,3.8127608388519584e-16,3.641683917734775e-13,0,0,20.808743169398905,738.7729737890364,KLF10;C1S;ACTN1;SERPINF1;MT1X;KRT5;CXCL14;TM4SF1;SERPINB5;DCN;COL1A1;EFNA1;MAFB;CCL2;SFN;HES1;NUPR1
