Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LINCS_L1000_Chem_Pert_up	LJP005 PC3 24H-WZ-3105-0.12	20/138	8.279222e-18	1.940898e-13	0	0	1.853296e+01	7.289528e+02	SRGN;CD53;PTGER4;CD52;FNBP1;LAPTM5;SLC2A3;IKZF1;CD3D;ZFP36L2;HLA-E;CD2;GLIPR1;PTPRC;STK17A;TRBC1;DDIT4;S100A4;LCP1;IL7R
LINCS_L1000_Chem_Pert_up	LJP008 HA1E 24H-olaparib-10	21/177	8.152762e-17	9.556260e-13	0	0	1.477310e+01	5.472781e+02	CD53;CD52;KLRB1;GZMA;TRAC;ITGB2;LAPTM5;CXCR4;IL2RG;CORO1A;SAMSN1;CD3D;CCND2;PTPRC;RGS1;LCK;CCL5;TRBC1;ALOX5AP;CD48;EVI2B
LINCS_L1000_Chem_Pert_up	LJP006 BT20 3H-withaferin-a-3.33	13/46	5.140014e-16	4.016578e-12	0	0	4.164171e+01	1.465968e+03	PTGER4;DUSP2;INSIG1;HERPUD1;NR4A2;CCND2;RGS1;LCK;STK17A;DDIT4;CD69;JUNB;ITM2A
LINCS_L1000_Chem_Pert_up	LJP005 HS578T 24H-withaferin-a-10	19/195	9.776784e-14	5.729929e-10	0	0	1.170442e+01	3.506197e+02	IL32;DUSP2;BTG1;KLRB1;TRAC;CREM;IKZF1;HERPUD1;ISG20;NR4A2;TRBC1;CD69;YPEL5;IL7R;JUNB;ITM2A;SRSF7;MCL1;BIRC3
LINCS_L1000_Chem_Pert_up	LJP006 HA1E 24H-celastrol-1.11	19/207	2.892557e-13	1.291170e-09	0	0	1.095063e+01	3.161607e+02	DUSP4;ZNF331;PTGER4;DUSP2;BTG1;CREM;CXCR4;SLA;SLC2A3;CST7;RUNX3;HERPUD1;NR4A2;RGS1;DDIT4;ITM2A;JUNB;SRSF7;MCL1
LINCS_L1000_Chem_Pert_up	LJP005 HA1E 24H-AS-601245-3.33	16/135	4.442484e-13	1.291170e-09	0	0	1.438144e+01	4.090425e+02	ZNF331;CD74;GZMA;ITGB2;LAPTM5;CST7;NR4A2;CD2;GZMK;PTPRC;RGS1;LCK;CCL5;TRBC1;LTB;IL7R
LINCS_L1000_Chem_Pert_up	LJP006 MDAMB231 24H-alvocidib-0.37	17/159	4.468996e-13	1.291170e-09	0	0	1.286023e+01	3.656993e+02	ZNF331;CD52;SH2D1A;ICAM3;CTSW;IKZF1;IL2RG;CD3D;LDHB;PTPRC;RGS1;TRBC1;ARHGDIB;ALOX5AP;CD48;IL7R;ITM2A
LINCS_L1000_Chem_Pert_up	LJP006 SKBR3 24H-withaferin-a-3.33	19/213	4.843739e-13	1.291170e-09	0	0	1.060870e+01	3.008195e+02	ZNF331;DUSP2;BTG1;INSIG1;SLC2A3;EMP3;CST7;HLA-E;NR4A2;ARL4C;RGS1;DDIT4;COTL1;CD69;EZR;YPEL5;IL7R;JUNB;MCL1
LINCS_L1000_Chem_Pert_up	LJP006 HCC515 24H-AT-7519-10	17/160	4.956928e-13	1.291170e-09	0	0	1.276965e+01	3.618002e+02	CD74;TRAC;SH2D1A;LAPTM5;HLA-C;ISG15;IL2RG;CST7;CD3D;CD2;LCK;CCL5;TRBC1;ALOX5AP;IL7R;JUNB;ITM2A
LINCS_L1000_Chem_Pert_up	LJP006 LNCAP 3H-celastrol-3.33	13/82	1.646181e-12	3.859142e-09	0	0	1.987933e+01	5.393772e+02	ZNF331;SRGN;PTGER4;HSPA8;DUSP2;SLC2A3;ZFP36L2;HERPUD1;NR4A2;RGS1;DDIT4;JUNB;MCL1
LINCS_L1000_Chem_Pert_up	LJP008 HCC515 24H-CGP-60474-1.11	15/129	3.246397e-12	6.918662e-09	0	0	1.400142e+01	3.703863e+02	SRGN;CD52;TRAC;SH2D1A;NKG7;EMP3;CD3E;IL2RG;CD3D;CD2;CCL5;TRBC1;CD48;FYN;IL7R
LINCS_L1000_Chem_Pert_up	LJP008 HA1E 24H-GSK-461364-1.11	12/69	3.841920e-12	7.505511e-09	0	0	2.210862e+01	5.811262e+02	CD2;KLRB1;STK17A;GZMA;TRAC;TRBC1;CXCR4;LPXN;CD3G;CST7;IL7R;CD3D
LINCS_L1000_Chem_Pert_up	LJP006 SKBR3 3H-BI-2536-10	15/132	4.554934e-12	7.953984e-09	0	0	1.364033e+01	3.562147e+02	DUSP2;BTG1;INSIG1;HLA-B;ISG15;HLA-E;HERPUD1;NR4A2;SOCS1;RGS1;DDIT4;EZR;JUNB;SRSF7;MCL1
LINCS_L1000_Chem_Pert_up	LJP005 PC3 24H-PF-431396-10	17/184	4.872930e-12	7.953984e-09	0	0	1.092114e+01	2.844665e+02	CD52;GMFG;TSC22D3;CXCR4;SLC2A3;EIF1;NR4A2;STK17A;GPR183;DDIT4;CD48;FYN;LTB;IL7R;ITM2A;MCL1;BIRC3
LINCS_L1000_Chem_Pert_up	LJP005 SKBR3 3H-withaferin-a-3.33	15/133	5.089355e-12	7.953984e-09	0	0	1.352405e+01	3.516776e+02	HSPA8;DUSP2;INSIG1;TSC22D3;SLC2A3;SERPINB9;NR4A2;RGS1;STK17A;FTH1;DDIT4;CD69;EZR;JUNB;MCL1
LINCS_L1000_Chem_Pert_up	LJP006 LNCAP 3H-withaferin-a-10	13/91	6.540851e-12	9.583573e-09	0	0	1.757754e+01	4.526736e+02	HSPA8;DUSP2;TSC22D3;INSIG1;CXCR4;SLC2A3;HERPUD1;NR4A2;RGS1;DDIT4;CD69;JUNB;MCL1
LINCS_L1000_Chem_Pert_up	LJP005 MCF10A 24H-LDN-193189-10	15/143	1.468386e-11	1.912409e-08	0	0	1.246115e+01	3.108343e+02	TSC22D3;HLA-B;HLA-C;ISG15;SLC2A3;CD3D;HERPUD1;ISG20;NR4A2;RGS1;FTH1;YPEL5;ITM2A;CD44;BIRC3
LINCS_L1000_Chem_Pert_up	LJP006 PC3 24H-withaferin-a-10	15/143	1.468386e-11	1.912409e-08	0	0	1.246115e+01	3.108343e+02	PTGER4;DUSP2;CXCR4;IKZF1;RUNX3;HLA-E;EIF1;HERPUD1;NR4A2;RGS1;DDIT4;CD69;JUNB;SRSF7;ITM2A
LINCS_L1000_Chem_Pert_up	LJP006 MDAMB231 3H-QL-XII-47-1.11	13/99	1.968187e-11	2.403229e-08	0	0	1.593595e+01	3.928423e+02	ZNF331;PTGER4;BTG1;INSIG1;TSC22D3;ZFP36L2;ISG20;NR4A2;ARL4C;JUNB;ITM2A;MCL1;BIRC3
LINCS_L1000_Chem_Pert_up	LJP006 HME1 3H-withaferin-a-3.33	11/61	2.050274e-11	2.403229e-08	0	0	2.298942e+01	5.657802e+02	NR4A2;HSPA8;DUSP2;RPL10;RGS1;TSC22D3;FXYD5;JUNB;SRSF7;HERPUD1;MCL1
LINCS_L1000_Chem_Pert_up	LJP005 PC3 24H-BX-912-10	12/80	2.385812e-11	2.663361e-08	0	0	1.852190e+01	4.530253e+02	CD52;RGS1;SPOCK2;TRAC;TRBC1;DDIT4;PDE4B;CD48;CD69;YPEL5;IL7R;BIRC3
LINCS_L1000_Chem_Pert_up	LJP005 HS578T 24H-AS-601245-1.11	15/150	2.934843e-11	3.127342e-08	0	0	1.181081e+01	2.864332e+02	CD52;TSC22D3;GZMA;TRAC;ICAM3;IKZF1;CD3D;CD2;PTPRC;CCL5;TRBC1;CD48;LTB;IL7R;ITM2A
LINCS_L1000_Chem_Pert_up	LJP008 A549 24H-mitoxantrone-10	14/129	4.508052e-11	4.594882e-08	0	0	1.288406e+01	3.069314e+02	ZNF331;PTGER4;CD52;CD74;DUSP2;TSC22D3;HLA-B;HLA-C;CXCR4;HLA-A;HLA-E;NR4A2;GPR183;JUNB
LINCS_L1000_Chem_Pert_up	LJP005 MDAMB231 3H-PF-477736-10	10/51	7.138004e-11	6.972343e-08	0	0	2.536457e+01	5.925925e+02	ZNF331;SRGN;NR4A2;RGS1;FTH1;TSC22D3;DDIT4;PDE4B;CREM;SLC2A3
LINCS_L1000_Chem_Pert_up	LJP005 MDAMB231 3H-XMD16-144-10	12/90	9.941620e-11	9.322456e-08	0	0	1.613912e+01	3.717114e+02	ZNF331;SRGN;NR4A2;RGS1;FTH1;TSC22D3;SUB1;INSIG1;DDIT4;ICAM3;CALM1;HERPUD1
