compound,n_clusters,total_score,max_rev,best_p
LJP006 HME1 24H-gefitinib-0.37,23,200.63270718298492,30.194576776802826,6.3888578186346265e-31
LJP006 HME1 24H-canertinib-0.04,23,200.54180777101615,20.40837373354234,3.9050470105375215e-21
LJP006 HME1 24H-PD-0325901-1.11,23,199.9176900935694,27.793095082994682,1.6102930443592751e-28
LJP006 A375 24H-radicicol-10,23,198.02453920857246,26.9251009747486,1.1882259292833102e-27
LJP006 HME1 24H-AS-605240-3.33,23,176.43784332574964,25.463296722981642,3.441147409431716e-26
LJP005 SKBR3 24H-withaferin-a-3.33,23,172.36966915525267,32.50937295954215,3.094760466920995e-33
LJP006 HME1 24H-canertinib-0.12,23,170.7731586937883,22.308591470366377,4.9136987781054726e-23
LJP006 HME1 24H-PD-0325901-0.37,23,166.3750001657652,21.785585873245008,1.6383780720146702e-22
LJP005 HEPG2 24H-foretinib-10,23,156.67825347992746,26.016301055452843,9.63161123279567e-27
LJP006 MCF10A 24H-AS-605240-3.33,23,156.5363166048993,17.93018264958032,1.1744035366293962e-18
LJP006 HME1 24H-selumetinib-1.11,23,154.21819467061988,22.373881471954398,4.227839851116595e-23
LJP006 SKBR3 3H-BI-2536-10,23,153.48843227638827,28.208505299311156,6.187207778051715e-29
LJP006 MDAMB231 3H-QL-XII-47-10,23,150.26206058792195,30.957058335420605,1.1039303275154338e-31
LJP005 HT29 24H-LDN-193189-10,23,148.32133682966477,27.064526477625716,8.619330276447691e-28
LJP006 HME1 24H-PD-0325901-3.33,23,147.70424578988997,23.05243609409735,8.862656269696207e-24
LJP006 HME1 24H-saracatinib-10,23,146.79461446176765,20.55498181110651,2.7862378579373907e-21
LJP005 MCF10A 24H-PD-184352-10,23,143.6904861929069,20.945965902926822,1.1324892730776684e-21
LJP009 PC3 24H-chelerythrine chloride-10,23,142.0851340461053,30.575027173782615,2.660558583581704e-31
LJP005 MCF10A 24H-AZD-8330-0.37,23,141.8195060841249,21.02687049618909,9.400035717734133e-22
LJP006 A549 24H-mitoxantrone-10,23,141.42591044954375,25.17019980859042,6.757719971928372e-26
LJP006 HME1 24H-selumetinib-3.33,23,141.18373522129156,21.79237324792624,1.6129717164361091e-22
LJP006 MCF10A 24H-selumetinib-10,23,140.91768889274698,17.284821550281837,5.190132554156921e-18
LJP005 HCC515 24H-withaferin-a-10,23,140.0539549430497,25.237224782900604,5.791288723030973e-26
LJP006 HME1 24H-selumetinib-10,23,138.87475146695118,23.890650217382305,1.2863222522500508e-24
LJP006 MCF10A 24H-selumetinib-0.37,23,138.54135833604835,16.906652132350803,1.2397892537405435e-17
LJP006 MCF10A 24H-PD-0325901-0.04,23,135.53428157441846,18.707712490675277,1.9601418867856264e-19
LJP006 HME1 24H-AS-605240-0.12,23,134.60897898009512,17.25890762549621,5.5092486574854896e-18
LJP006 LNCAP 24H-BMS-345541-10,23,134.4120654739238,23.739569775821924,1.8215043980007604e-24
LJP005 SKBR3 3H-SB590885-10,23,132.92536890589776,25.189410987776736,6.465304921585789e-26
LJP005 MCF10A 24H-trametinib-1.11,23,131.1635616494215,16.020174012996232,9.546100164979008e-17
LJP005 MCF10A 24H-trametinib-10,23,130.66823850466102,16.04811475532217,8.951282110851146e-17
LJP006 MCF10A 24H-AS-605240-1.11,23,129.9365700549736,22.20310684064061,6.26459730564544e-23
LJP006 MCF10A 24H-gefitinib-1.11,23,129.77766355340495,17.98622284338063,1.0322316154521634e-18
LJP005 MCF10A 24H-PD-0325901-0.04,23,128.2852774428168,16.84513731691082,1.4284422367041457e-17
LJP006 MCF10A 24H-selumetinib-1.11,23,128.19473329848466,15.563968849294179,2.72917353162933e-16
LJP006 HME1 24H-afatinib-3.33,23,125.42809178513042,17.031022964259584,9.310586424277157e-18
LJP006 MCF10A 24H-AS-605240-10,23,125.4200136784109,27.068631803701706,8.538236817943304e-28
LJP005 HCC515 24H-WZ-3105-0.12,23,125.39443760579762,24.36803536546462,4.285136242587568e-25
LJP005 MCF10A 24H-AZD-8330-10,23,125.13240318981434,17.32334390021848,4.749589762087186e-18
