cluster,cell_type,compound,rev_score_sum,rev_score_max,best_p,hits
9,cluster_9,LJP005 SKBR3 24H-withaferin-a-3.33,32.10746575005005,32.50937295954215,3.094760466920995e-33,4
9,cluster_9,LJP006 MDAMB231 3H-QL-XII-47-10,29.993920242205697,30.957058335420605,1.1039303275154338e-31,4
9,cluster_9,LJP009 PC3 24H-chelerythrine chloride-10,29.844470406716002,30.575027173782615,2.660558583581704e-31,3
13,cluster_13,LJP006 HME1 24H-gefitinib-0.37,22.42540261962407,30.194576776802826,6.3888578186346265e-31,4
9,cluster_9,LJP005 PC3 24H-foretinib-10,29.27044182829563,29.98134984148959,1.0438789943711044e-30,3
1,cluster_1,LJP005 SKBR3 24H-withaferin-a-3.33,25.591915338878202,29.65477662016694,2.2142333100407565e-30,4
11,cluster_11,LJP005 SKBR3 24H-withaferin-a-3.33,30.546027211826342,29.643493794937715,2.272512103973544e-30,3
17,cluster_17,LJP006 MDAMB231 3H-QL-XII-47-10,29.322879720699717,29.10485287532432,7.855016916602174e-30,3
9,cluster_9,LJP005 SKBR3 3H-LDN-193189-10,26.350101638556872,28.684657892667754,2.0670077612624908e-29,3
9,cluster_9,LJP005 HCC515 24H-LDN-193189-10,28.045199207707547,28.661623861288312,2.179596685039309e-29,4
9,cluster_9,LJP005 HCC515 24H-WZ-3105-0.37,27.116580826501895,28.466501220382952,3.415849908187253e-29,3
9,cluster_9,LJP006 SKBR3 3H-BI-2536-10,28.590162556733205,28.208505299311156,6.187207778051715e-29,3
7,cluster_7,LJP006 HME1 24H-PD-0325901-1.11,27.322608043080457,27.793095082994682,1.6102930443592751e-28,4
17,cluster_17,LJP006 SKBR3 3H-BI-2536-10,26.943612509434544,27.63206758520227,2.333094956206473e-28,4
11,cluster_11,LJP006 SKBR3 3H-BI-2536-10,30.47168631054765,27.611484736895083,2.446331249868508e-28,4
9,cluster_9,LJP006 HT29 24H-celastrol-10,26.999609401357535,27.59092867904209,2.564905217271204e-28,3
11,cluster_11,LJP009 PC3 24H-chelerythrine chloride-10,29.18953068885732,27.560030129761063,2.75403763166285e-28,4
9,cluster_9,LJP006 HA1E 24H-radicicol-10,27.353641005782944,27.31060745622324,4.890942349948592e-28,3
9,cluster_9,LJP005 MCF10A 24H-LDN-193189-10,29.440789154547016,27.214614944506785,6.100775663455938e-28,3
9,cluster_9,LJP006 SKBR3 24H-withaferin-a-3.33,26.68803907530871,27.101361951949347,7.918411150882573e-28,4
2,cluster_2,LJP006 MCF10A 24H-AS-605240-10,26.065587154163794,27.068631803701706,8.538236817943304e-28,4
9,cluster_9,LJP005 HT29 24H-LDN-193189-10,22.476362868455645,27.064526477625716,8.619330276447691e-28,4
9,cluster_9,LJP006 A375 24H-radicicol-10,26.264950191872853,26.9251009747486,1.1882259292833102e-27,3
9,cluster_9,LJP006 HME1 3H-QL-XII-47-3.33,25.27890604670845,26.648155278542024,2.2482506179659668e-27,4
11,cluster_11,LJP006 MDAMB231 3H-QL-XII-47-10,25.812448819636963,26.595246123236894,2.539533094235852e-27,4
17,cluster_17,LJP005 HT29 24H-LDN-193189-10,28.45922243553243,26.453326657257623,3.5210593278108236e-27,4
17,cluster_17,LJP005 SKBR3 3H-LDN-193189-3.33,27.61789111374785,26.354607318471132,4.4196988824033275e-27,4
17,cluster_17,LJP005 SKBR3 24H-withaferin-a-3.33,25.76671604002151,26.185998247209994,6.516310240045555e-27,4
4,cluster_4,LJP006 HME1 3H-alvocidib-0.37,27.048526570471054,26.12649150584572,7.47323250579864e-27,3
19,cluster_19,LJP006 MDAMB231 3H-QL-XII-47-10,25.001706067731227,25.964549020672486,1.085053068147742e-26,3
17,cluster_17,LJP005 SKBR3 3H-LDN-193189-10,24.67174981299989,25.852171345327385,1.405492895499476e-26,3
2,cluster_2,LJP006 MCF10A 24H-gefitinib-10,25.464875460394712,25.757545673272087,1.7476494584097807e-26,4
17,cluster_17,LJP006 HME1 24H-PD-0325901-1.11,26.023104846571353,25.741477899636894,1.813518959815038e-26,4
0,cluster_0,LJP006 HME1 24H-gefitinib-0.37,21.89373960472963,25.6195460371923,2.4013417012403775e-26,4
16,cluster_16,LJP006 HME1 24H-gefitinib-0.37,22.82751004968213,25.614740699169715,2.4280593649175143e-26,4
17,cluster_17,LJP006 HME1 24H-AS-605240-3.33,24.9772675826757,25.463296722981642,3.441147409431716e-26,4
11,cluster_11,LJP006 SKBR3 24H-withaferin-a-3.33,26.309485740476976,25.458261081151633,3.4812797096068724e-26,3
11,cluster_11,LJP006 PC3 24H-withaferin-a-10,28.112096893053824,25.458261081151633,3.4812797096068724e-26,3
17,cluster_17,LJP005 SKBR3 3H-SB590885-10,26.93012086398394,25.189410987776736,6.465304921585789e-26,4
17,cluster_17,LJP006 A549 24H-mitoxantrone-10,21.0092527841654,25.17019980859042,6.757719971928372e-26,3
1,cluster_1,LJP005 HT29 24H-LDN-193189-10,27.77009768738973,25.09934076918838,7.955348889644582e-26,4
1,cluster_1,LJP006 SKBR3 24H-withaferin-a-3.33,24.1756218912745,25.09934076918838,7.955348889644582e-26,4
19,cluster_19,LJP006 SKBR3 3H-BI-2536-10,26.86721073148331,24.551397334085607,2.8093294113326635e-25,4
7,cluster_7,LJP005 HCC515 24H-WZ-3105-0.12,24.312522782302757,24.36803536546462,4.285136242587568e-25,3
4,cluster_4,LJP006 HCC515 24H-mitoxantrone-10,30.915009767963696,24.272076534842014,5.344701624966651e-25,3
1,cluster_1,LJP005 SKBR3 3H-LDN-193189-10,24.78328022064481,24.228273337445938,5.911894326410486e-25,4
17,cluster_17,LJP005 SKBR3 24H-withaferin-a-10,23.34304053205327,24.14403617172538,7.1773450976860235e-25,3
2,cluster_2,LJP006 HME1 24H-PD-0325901-1.11,25.322962835398062,23.917953859437873,1.2079421631701842e-24,4
17,cluster_17,LJP006 A375 24H-radicicol-10,23.610886430209103,23.895651773721152,1.2715932862946567e-24,2
16,cluster_16,LJP006 HME1 24H-selumetinib-10,21.726330333115556,23.890650217382305,1.2863222522500508e-24,4
13,cluster_13,LJP006 HME1 24H-selumetinib-10,18.22041918745838,23.85392335835655,1.3998343350088042e-24,3
17,cluster_17,LJP005 SKBR3 3H-withaferin-a-3.33,20.388550283207145,23.835519417206243,1.4604294525175427e-24,4
7,cluster_7,LJP005 HEPG2 24H-foretinib-10,21.003973224265987,23.796970154917616,1.5959888211635291e-24,3
11,cluster_11,LJP006 SKBR3 3H-withaferin-a-3.33,24.07987514405079,23.79437111842614,1.6055686572293852e-24,3
2,cluster_2,LJP006 HME1 24H-AS-605240-3.33,21.65317524474021,23.753376696917805,1.7645066647563962e-24,4
11,cluster_11,LJP006 LNCAP 24H-BMS-345541-10,24.248513295227177,23.739569775821924,1.8215043980007604e-24,3
11,cluster_11,LJP006 A375 24H-radicicol-10,23.704627539749755,23.739569775821924,1.8215043980007604e-24,4
11,cluster_11,LJP006 LNCAP 3H-withaferin-a-10,24.29330673797546,23.688986902464077,2.0465063547234893e-24,4
17,cluster_17,LJP005 HCC515 24H-withaferin-a-10,21.439083328431707,23.63625754819705,2.310694080637143e-24,4
0,cluster_0,LJP005 MCF10A 24H-geldanamycin-0.04,25.042723809172635,23.59674480470851,2.530784671142648e-24,4
0,cluster_0,LJP005 HCC515 24H-WZ-3105-10,23.576870029757423,23.59674480470851,2.530784671142648e-24,4
11,cluster_11,LJP005 HCC515 24H-withaferin-a-10,23.89085416652424,23.51093934936985,3.0836185574936234e-24,4
17,cluster_17,LJP006 SKBR3 3H-JW-7-24-1-10,22.125723368670215,23.288247229230176,5.149354257247449e-24,4
1,cluster_1,LJP005 HCC515 24H-withaferin-a-10,21.922270939444306,23.17979949377687,6.6099854912771615e-24,4
2,cluster_2,LJP006 MCF10A 24H-gefitinib-3.33,21.076139876033324,22.810448782325548,1.547216961209799e-23,4
22,cluster_22,LJP006 A375 24H-radicicol-10,17.399466592855735,22.7864398201095,1.635159718400082e-23,3
0,cluster_0,LJP005 A375 24H-PD-184352-0.04,23.57019665036175,22.676232577279023,2.107499220774256e-23,4
3,cluster_3,LJP006 HME1 24H-XMD-1150-10,26.066360499177364,22.627773941535224,2.3562754505373734e-23,4
16,cluster_16,LJP006 HME1 24H-PD-0325901-1.11,21.417369487084436,22.54648850264814,2.8412634025465106e-23,4
4,cluster_4,LJP006 HME1 3H-alvocidib-3.33,26.156503358532543,22.526732174772306,2.973499194771823e-23,2
13,cluster_13,LJP006 HME1 24H-selumetinib-1.11,18.003640961158997,22.373881471954398,4.227839851116595e-23,4
4,cluster_4,LJP006 HS578T 3H-A443654-3.33,23.588575697426947,22.365278728951093,4.312422179767871e-23,4
4,cluster_4,LJP005 A375 24H-PLX-4720-0.37,24.243923436345185,22.33718037798632,4.6006545230497654e-23,4
4,cluster_4,LJP005 A375 24H-PD-184352-0.04,23.309796481447002,22.33718037798632,4.6006545230497654e-23,3
0,cluster_0,LJP006 HA1E 24H-CGP-60474-3.33,22.271938165824817,22.33658912164973,4.6069222025502666e-23,4
13,cluster_13,LJP006 HME1 24H-canertinib-0.12,20.600183754579508,22.308591470366377,4.9136987781054726e-23,3
7,cluster_7,LJP005 HCC515 24H-trametinib-10,21.173837881206147,22.308321770841147,4.9167511627282653e-23,4
2,cluster_2,LJP006 MCF10A 24H-AS-605240-1.11,21.013217115685247,22.20310684064061,6.26459730564544e-23,4
0,cluster_0,LJP005 MCF7 24H-CGP-60474-3.33,25.584756665896954,22.18863290932307,6.476898491553649e-23,4
7,cluster_7,LJP006 HME1 24H-PD-0325901-3.33,21.008169897443473,22.170584191208278,6.751741537872236e-23,4
7,cluster_7,LJP006 HME1 24H-PD-0325901-0.12,21.022227201992877,22.163001691266306,6.870657643794086e-23,4
7,cluster_7,LJP006 A375 24H-radicicol-10,18.581065536707587,22.163001691266306,6.870657643794086e-23,3
0,cluster_0,LJP006 HA1E 24H-mitoxantrone-3.33,21.928990007910055,22.013021369977285,9.704622133214452e-23,4
11,cluster_11,LJP005 SKBR3 3H-SB590885-10,22.538965929132054,21.977254341693165,1.0537695824541666e-22,4
0,cluster_0,LJP006 MCF10A 24H-GSK-2126458-1.11,23.005280059465147,21.943305598382018,1.1394477144651516e-22,4
4,cluster_4,LJP006 MDAMB231 3H-BMS-345541-10,21.451176064582178,21.910030968110924,1.2301810475208876e-22,4
7,cluster_7,LJP005 MCF10A 24H-PD-184352-0.37,19.981104792501235,21.87363784036267,1.3377105729283502e-22,4
1,cluster_1,LJP005 HEPG2 24H-pelitinib-10,22.063018887208116,21.818180188590713,1.519916786083713e-22,4
11,cluster_11,LJP006 HS578T 3H-withaferin-a-10,21.540507426250908,21.77833877642773,1.6659471642270706e-22,3
11,cluster_11,LJP006 LNCAP 3H-celastrol-3.33,21.03186534891237,21.77833877642773,1.6659471642270706e-22,4
14,cluster_14,LJP006 HA1E 24H-JW-7-24-1-10,21.312040480058048,21.76253831076201,1.727673569153001e-22,3
22,cluster_22,LJP005 HCC515 24H-WZ-3105-0.12,21.022601327829467,21.64901084306747,2.2438259012902508e-22,4
4,cluster_4,LJP006 HME1 24H-gefitinib-0.37,16.295225153804736,21.63447451594622,2.3202003290797766e-22,3
0,cluster_0,LJP006 HA1E 24H-alvocidib-3.33,23.499173392949647,21.619542466032907,2.4013614473103405e-22,4
7,cluster_7,LJP006 HME1 24H-AS-605240-3.33,21.51500977016155,21.39235318454821,4.0517889476685386e-22,4
4,cluster_4,LJP006 HME1 3H-CGP-60474-3.33,21.48569262592276,21.380099014910563,4.1677435214596364e-22,4
11,cluster_11,LJP005 SKBR3 24H-radicicol-10,20.671731064824545,21.361195606824758,4.353157627135358e-22,4
0,cluster_0,LJP005 MCF10A 24H-radicicol-1.11,20.58682967170993,21.193432224952126,6.405717399955317e-22,4
0,cluster_0,LJP006 MCF10A 24H-WZ-4-145-3.33,18.057102536146626,21.15556199528752,6.989369567917682e-22,3
1,cluster_1,LJP006 HA1E 24H-AZD-7762-1.11,19.548466596558804,21.097831382559193,7.983045736514968e-22,3
7,cluster_7,LJP006 HME1 24H-PD-0325901-0.37,19.81441339355149,21.044184873142488,9.032648845270802e-22,4
